t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1090084864,0,0
0.1004,51232768,0.0500,49.80,0,0,1,6.23,0.00,1081913344,0,0
0.2014,53985280,0.0700,19.80,0,0,1,1.86,0.00,1084940288,0,0
0.3023,55820288,0.0900,19.82,0,0,1,3.10,0.00,1085706240,0,0
0.4033,60538880,0.1000,9.91,0,0,1,3.72,0.00,1086930944,0,0
0.5043,60801024,0.1100,9.90,0,0,1,1.86,0.00,1087238144,0,0
0.6051,61456384,0.1300,19.83,0,0,1,4.96,0.00,1087463424,0,0
0.7059,62111744,0.1500,19.84,0,0,1,2.48,0.00,1088741376,0,0
0.8068,62111744,0.1600,9.91,0,0,1,1.86,0.00,1089703936,0,0
0.9076,62767104,0.1700,9.92,0,0,1,2.48,0.00,1090220032,0,0
1.0083,63291392,0.1900,19.84,0,0,1,1.86,0.00,1090736128,0,0
1.1092,64208896,0.2000,9.92,0,0,1,4.34,0.00,1091796992,0,0
1.2099,64471040,0.2100,9.93,0,0,1,1.86,0.00,1092571136,0,16384
1.3107,64471040,0.2300,19.85,0,0,1,1.86,0.00,1092067328,0,16384
1.4115,65126400,0.2400,9.92,0,0,1,3.72,0.00,1092583424,0,16384
1.5122,65126400,0.2500,9.93,0,0,1,0.62,0.00,1093042176,0,16384
1.6130,65650688,0.2700,19.85,0,0,1,1.86,0.00,1094221824,0,16384
1.7137,65781760,0.2700,0.00,0,0,1,1.24,0.00,1094221824,0,16384
1.8146,66568192,0.2900,19.82,0,0,1,3.72,0.00,1094963200,0,16384
1.9154,66699264,0.2900,0.00,0,0,1,1.24,0.00,1094963200,0,16384
2.0162,71417856,0.3400,49.63,0,0,1,3.72,0.00,1100124160,0,16384
2.1171,90112000,0.5100,168.42,0,0,1,11.76,0.00,1120641024,0,16384
2.2181,209141760,1.1400,624.11,0,0,1,40.25,0.00,1230643200,0,16384
2.3191,216915968,1.4000,257.34,0,0,1,18.56,0.00,1239650304,0,16384
2.4202,218095616,2.0800,672.70,0,0,1,42.66,0.00,1241456640,0,16384
2.5214,219144192,3.1400,1047.15,0,0,1,62.98,0.00,1242230784,0,16384
2.6224,220717056,3.8900,742.35,0,0,1,46.40,0.00,1244037120,0,16384
2.7267,219185152,5.3800,1428.71,0,0,1,91.69,0.00,1243889664,0,16384
2.8279,220626944,6.2700,879.67,0,0,1,54.36,0.00,1244811264,0,16384
2.9288,222068736,7.0000,723.49,0,0,1,45.22,0.00,1245585408,0,16384
3.0296,222461952,7.4700,466.34,0,0,1,29.77,0.00,1246359552,0,16384
3.1307,222986240,7.8300,356.20,0,0,1,23.50,0.00,1246617600,0,16384
3.2319,224821248,8.6500,810.02,0,0,1,51.24,0.00,1247907840,0,16384
3.3387,226000896,9.5900,879.87,0,0,1,55.58,0.00,1248681984,0,16384
3.4398,226787328,10.6500,1048.67,0,0,1,64.30,0.00,1250488320,0,16384
3.5406,227966976,11.3700,714.27,0,0,1,45.88,0.00,1251520512,0,16384
3.6467,229015552,12.6300,1187.29,0,0,1,75.38,0.00,1252552704,0,16384
3.7480,229146624,14.2300,1580.71,0,0,1,98.79,0.00,1252552704,0,16384
3.8493,230981632,15.0800,838.95,0,0,1,52.43,0.00,1254100992,0,16384
3.9501,231899136,15.7900,704.29,0,0,1,44.64,0.00,1255133184,0,16384
4.0510,232816640,16.5800,782.81,0,0,1,48.93,0.00,1255391232,0,16384
4.1520,232947712,17.3500,762.15,0,0,1,47.63,0.00,1255649280,0,16384
4.2531,235175936,17.6800,326.66,0,0,1,24.13,0.00,1257971712,0,16384
4.3541,236617728,18.4300,741.95,0,0,1,49.46,0.00,1259507712,0,16384
4.4552,238845952,19.3600,919.92,0,0,1,60.59,0.00,1261314048,0,16384
4.5561,240156672,20.0000,634.43,0,0,1,39.03,0.00,1262587904,0,16384
4.6571,242253824,20.4200,415.95,0,0,1,29.71,0.00,1263620096,0,16384
4.7579,242909184,21.1600,733.94,0,0,1,49.59,0.00,1265168384,0,16384
4.8590,242909184,22.1200,949.91,0,0,1,56.28,0.00,1265168384,0,16384
4.9601,0,22.6000,474.76,0,0,1,31.53,0.00,1133084672,0,16384
4.9658,0,22.6000,0.00,0,0,0,0.00,0.00,1109196800,0,16384
