t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1089245184,0,0
0.1004,47767552,0.0400,39.83,0,0,1,4.98,0.00,1078296576,0,0
0.2016,54190080,0.0800,39.54,0,0,1,4.32,0.00,1082941440,0,0
0.3025,55762944,0.1000,19.82,0,0,1,2.48,0.00,1084362752,0,0
0.4033,60219392,0.1100,9.91,0,0,1,3.10,0.00,1085366272,0,0
0.5041,60612608,0.1300,19.84,0,0,1,2.48,0.00,1085775872,0,0
0.6049,61005824,0.1400,9.92,0,0,1,2.48,0.00,1086291968,0,0
0.7057,61923328,0.1600,19.83,0,0,1,0.62,0.00,1086795776,0,0
0.8067,62054400,0.1700,9.91,0,0,1,3.72,0.00,1086795776,0,0
0.9074,62709760,0.1800,9.92,0,0,1,1.24,0.00,1087827968,0,0
1.0082,63102976,0.1900,9.92,0,0,1,1.86,0.00,1086263296,0,0
1.1089,63365120,0.2000,9.93,0,0,1,1.86,0.00,1087062016,0,0
1.2098,64282624,0.2100,9.92,0,0,1,3.10,0.00,1088094208,0,0
1.3108,64413696,0.2300,19.79,0,0,1,3.09,0.00,1088094208,0,0
1.4118,64413696,0.2500,19.80,0,0,1,1.86,0.00,1088610304,0,0
1.5126,65462272,0.2600,9.92,0,0,1,2.48,0.00,1089642496,0,0
1.6134,65986560,0.2700,9.92,0,0,1,1.86,0.00,1090158592,0,0
1.7143,66248704,0.2800,9.91,0,0,1,2.48,0.00,1090158592,0,0
1.8150,66510848,0.3000,19.85,0,0,1,1.86,0.00,1090674688,0,0
1.9159,67035136,0.3100,9.91,0,0,1,2.48,0.00,1091190784,0,0
2.0170,67166208,0.3200,9.90,0,0,1,3.09,0.00,1091706880,0,0
2.1177,82501632,0.4400,119.13,0,0,1,8.07,0.00,1106034688,0,0
2.2187,144637952,0.7600,316.79,0,0,1,21.04,0.00,1161064448,0,0
2.3200,235470848,1.2800,513.35,0,0,1,34.55,0.00,1250316288,0,0
2.4212,257302528,1.4000,118.62,0,0,1,8.03,0.00,1272094720,0,0
2.5223,257249280,1.5000,98.87,0,0,1,6.80,0.00,1271529472,0,0
2.6234,287657984,1.8300,326.41,0,0,1,21.64,0.00,1302056960,0,0
2.7272,334712832,2.3900,539.58,0,0,1,36.13,0.00,1349537792,0,0
2.8285,380063744,3.1200,720.42,0,0,1,41.94,0.00,1395470336,0,0
2.9295,397627392,3.4300,306.81,0,0,1,17.32,0.00,1413017600,0,0
2.9894,0,3.4300,0.00,0,0,0,10.43,0.00,1079140352,0,0
