t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1098813440,0,0
0.1005,50802688,0.0500,49.77,0,0,1,6.22,0.00,1106960384,0,0
0.2016,53948416,0.0800,29.66,0,0,1,2.47,0.00,1109540864,0,0
0.3024,55783424,0.1000,19.85,0,0,1,1.86,0.00,1110544384,0,0
0.4032,60239872,0.1100,9.92,0,0,1,3.72,0.00,1111576576,0,0
0.5041,60633088,0.1200,9.90,0,0,1,1.24,0.00,1111576576,0,0
0.6051,61288448,0.1400,19.81,0,0,1,3.10,0.00,1112092672,0,0
0.7060,61681664,0.1500,9.91,0,0,1,2.48,0.00,1112608768,0,0
0.8067,61943808,0.1600,9.92,0,0,1,1.86,0.00,1113112576,0,0
0.9075,62730240,0.1800,19.85,0,0,1,2.48,0.00,1113112576,0,0
1.0086,63254528,0.1900,9.89,0,0,1,2.47,0.00,1113628672,0,0
1.1094,64303104,0.2000,9.92,0,0,1,1.86,0.00,1114660864,0,0
1.2103,64303104,0.2100,9.92,0,0,1,3.10,0.00,1114660864,0,0
1.3112,64434176,0.2300,19.82,0,0,1,2.48,0.00,1114660864,0,0
1.4119,65482752,0.2400,9.93,0,0,1,4.34,0.00,1114660864,0,0
1.5130,65613824,0.2500,9.90,0,0,1,1.24,0.00,1114660864,0,0
1.6138,66269184,0.2700,19.83,0,0,1,3.72,0.00,1115668480,0,0
1.7149,66400256,0.2800,9.89,0,0,1,9.89,0.00,1108619264,0,0
1.8160,66662400,0.3000,19.78,0,0,1,3.71,0.00,1109184512,0,0
1.9170,67055616,0.3100,9.90,0,0,1,3.71,0.00,1110081536,0,0
2.0180,67186688,0.3200,9.90,0,0,1,1.24,0.00,1110556672,0,0
2.1187,82653184,0.4400,119.08,0,0,1,9.30,0.00,1123909632,0,0
2.2197,128815104,0.7100,267.54,0,0,1,19.20,0.00,1166278656,0,0
2.3209,213749760,1.2100,493.93,0,0,1,32.11,0.00,1241153536,0,0
2.4219,213880832,1.2100,0.00,0,0,1,2.48,0.00,1241088000,0,0
2.5227,213880832,1.2200,9.91,0,0,1,2.48,0.00,1241088000,0,0
2.6235,213880832,1.2300,9.93,0,0,1,3.10,0.00,1241088000,0,0
2.7242,213880832,1.2400,9.93,0,0,1,3.10,0.00,1241088000,0,0
2.8249,213880832,1.2600,19.86,0,0,1,3.10,0.00,1241636864,0,0
2.9257,213880832,1.2700,9.92,0,0,1,1.86,0.00,1241636864,0,0
3.0215,0,1.2700,0.00,0,0,0,9.13,0.00,1103810560,0,0
