t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1011732480,0,0
0.1004,51044352,0.0500,49.79,0,0,1,8.09,0.00,1018474496,0,0
0.2015,53796864,0.0700,19.80,0,0,1,3.71,0.00,1020833792,0,0
0.3024,55500800,0.0900,19.81,0,0,1,2.48,0.00,1021304832,0,0
0.4034,59957248,0.1100,19.80,0,0,1,1.86,0.00,1021837312,0,0
0.5043,60219392,0.1300,19.82,0,0,1,3.10,0.00,1022324736,0,0
0.6053,60612608,0.1400,9.91,0,0,1,1.24,0.00,1022324736,0,0
0.7064,61267968,0.1500,9.88,0,0,1,2.47,0.00,1023094784,0,0
0.8073,61661184,0.1600,9.92,0,0,1,1.24,0.00,1023094784,0,0
0.9081,62578688,0.1800,19.84,0,0,1,3.72,0.00,1023344640,0,0
1.0088,63102976,0.1900,9.93,0,0,1,4.34,0.00,1024090112,0,0
1.1096,64020480,0.2000,9.92,0,0,1,2.48,0.00,1025122304,0,0
1.2103,64151552,0.2200,19.85,0,0,1,2.48,0.00,1025122304,0,0
1.3112,64413696,0.2300,9.92,0,0,1,2.48,0.00,1025617920,0,0
1.4120,64413696,0.2500,19.84,0,0,1,2.48,0.00,1026093056,0,0
1.5128,65200128,0.2500,0.00,0,0,1,1.86,0.00,1026867200,0,0
1.6136,65593344,0.2700,19.85,0,0,1,1.24,0.00,1027805184,0,0
1.7147,65855488,0.2800,9.89,0,0,1,3.09,0.00,1028308992,0,0
1.8155,66248704,0.2900,9.92,0,0,1,3.72,0.00,1028308992,0,0
1.9162,66772992,0.3100,19.85,0,0,1,1.24,0.00,1028825088,0,0
2.0170,66904064,0.3200,9.92,0,0,1,1.86,0.00,1028825088,0,0
2.1177,69869568,0.4400,119.12,0,0,1,8.07,0.00,1032540160,0,0
2.2185,106057728,0.6600,218.32,0,0,1,14.89,0.00,1065009152,0,0
2.3196,207978496,1.3300,662.88,0,0,1,42.05,0.00,1160781824,0,0
2.4206,219381760,1.4200,89.06,0,0,1,6.18,0.00,1171333120,0,0
2.5215,219381760,1.4300,9.92,0,0,1,3.10,0.00,1171333120,0,0
2.6222,219381760,1.4400,9.93,0,0,1,2.48,0.00,1171595264,0,0
2.7230,219381760,1.4500,9.93,0,0,1,2.48,0.00,1171333120,0,0
2.8237,219381760,1.4600,9.93,0,0,1,3.72,0.00,1171836928,0,0
2.9244,219381760,1.4700,9.93,0,0,1,0.62,0.00,1171836928,0,0
3.0251,219512832,1.4800,9.93,0,0,1,1.24,0.00,1171836928,0,0
3.0736,0,1.4800,0.00,0,0,0,7.73,0.00,1027796992,0,0
