t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1011712000,0,0
0.1004,51372032,0.0500,49.80,0,0,1,5.60,0.00,1011351552,0,0
0.2015,53993472,0.0800,29.69,0,0,1,1.24,0.00,1015349248,0,0
0.3022,55697408,0.1000,19.85,0,0,1,2.48,0.00,1016856576,0,0
0.4030,60284928,0.1000,0.00,0,0,1,2.48,0.00,1017368576,0,0
0.5039,60547072,0.1200,19.82,0,0,1,1.86,0.00,1018155008,0,0
0.6046,61333504,0.1300,9.92,0,0,1,3.10,0.00,1018646528,0,0
0.7054,61857792,0.1500,19.85,0,0,1,3.10,0.00,1019662336,0,0
0.8064,62119936,0.1600,9.91,0,0,1,2.48,0.00,1019670528,0,0
0.9071,62775296,0.1700,9.92,0,0,1,1.24,0.00,1020186624,0,0
1.0079,63299584,0.1800,9.93,0,0,1,3.72,0.00,1020411904,0,0
1.1087,64479232,0.2000,19.83,0,0,1,3.10,0.00,1021718528,0,0
1.2098,64872448,0.2100,9.90,0,0,1,3.09,0.00,1022009344,0,0
1.3106,64872448,0.2200,9.92,0,0,1,1.24,0.00,1022009344,0,0
1.4114,65527808,0.2400,19.84,0,0,1,2.48,0.00,1022517248,0,0
1.5122,65658880,0.2600,19.84,0,0,1,2.48,0.00,1022500864,0,0
1.6132,66183168,0.2600,0.00,0,0,1,2.48,0.00,1023025152,0,0
1.7142,66445312,0.2700,9.90,0,0,1,1.86,0.00,1023025152,0,0
1.8151,67100672,0.2900,19.83,0,0,1,3.10,0.00,1023815680,0,0
1.9158,67231744,0.3000,9.93,0,0,1,1.24,0.00,1024065536,0,0
2.0166,67624960,0.3200,19.85,0,0,1,3.72,0.00,1025318912,0,0
2.1174,84008960,0.4700,148.72,0,0,1,11.15,0.00,1041084416,0,0
2.2184,199786496,1.0900,614.26,0,0,1,39.01,0.00,1141403648,0,0
2.3198,215252992,1.8900,788.67,0,0,1,48.06,0.00,1158094848,0,0
2.4024,0,1.8900,0.00,0,0,0,24.97,0.00,1021153280,0,0
