t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1009389568,0,0
0.1004,51425280,0.0600,59.76,0,0,1,4.98,0.00,1012756480,0,0
0.2015,54046720,0.0700,9.89,0,0,1,3.09,0.00,1016328192,0,0
0.3027,55750656,0.0900,19.77,0,0,1,1.24,0.00,1017331712,0,0
0.4038,60207104,0.1100,19.78,0,0,1,2.47,0.00,1017856000,0,0
0.5049,60469248,0.1200,9.89,0,0,1,4.95,0.00,1018368000,0,0
0.6061,61255680,0.1300,9.89,0,0,1,3.09,0.00,1016684544,0,0
0.7069,61648896,0.1500,19.84,0,0,1,1.86,0.00,1017438208,0,0
0.8076,61911040,0.1600,9.93,0,0,1,2.48,0.00,1017438208,0,0
0.9083,62697472,0.1700,9.93,0,0,1,3.72,0.00,1018208256,0,0
1.0091,63221760,0.1900,19.85,0,0,1,2.48,0.00,1018736640,0,0
1.1101,64401408,0.2000,9.90,0,0,1,4.33,0.00,1019228160,4096,53248
1.2112,64532480,0.2100,9.89,0,0,1,1.24,0.00,1020493824,4096,53248
1.3120,64532480,0.2300,19.84,0,0,1,4.34,0.00,1020493824,4096,53248
1.4127,65449984,0.2400,9.93,0,0,1,1.86,0.00,1021526016,4096,53248
1.5135,65449984,0.2600,19.84,0,0,1,1.24,0.00,1021775872,4096,53248
1.6143,65843200,0.2700,9.92,0,0,1,1.86,0.00,1022291968,4096,53248
1.7152,66105344,0.2800,9.91,0,0,1,3.10,0.00,1022308352,4096,53248
1.8161,66760704,0.2900,9.90,0,0,1,2.48,0.00,1023049728,4096,53248
1.9171,67022848,0.3100,19.82,0,0,1,2.48,0.00,1023315968,4096,53248
2.0184,67153920,0.3100,0.00,0,0,1,1.85,0.00,1023315968,4096,53248
2.1192,83800064,0.4600,148.78,0,0,1,9.30,0.00,1040379904,4096,53248
2.2202,193028096,1.0000,534.69,0,0,1,34.66,0.00,1136377856,4096,53248
2.3279,216358912,1.6300,584.97,0,0,1,36.56,0.00,1163726848,4096,53248
2.4003,0,1.6300,0.00,0,0,0,36.28,0.00,1035026432,4096,53248
