t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1005654016,0,0
0.1007,50786304,0.0500,49.68,0,0,1,4.97,0.00,1019002880,0,0
0.2019,54063104,0.0800,29.64,0,0,1,2.47,0.00,1021751296,0,0
0.3026,55767040,0.0900,9.92,0,0,1,3.10,0.00,1022771200,0,0
0.4034,60354560,0.1100,19.85,0,0,1,2.48,0.00,1021583360,0,0
0.5043,60485632,0.1200,9.91,0,0,1,2.48,0.00,1021583360,0,0
0.6051,61272064,0.1400,19.84,0,0,1,3.72,0.00,1021583360,0,0
0.7059,61534208,0.1500,9.92,0,0,1,9.30,0.00,1019817984,0,0
0.8071,61534208,0.1500,0.00,0,0,1,5.56,0.00,1020846080,0,0
0.9081,62451712,0.1700,19.81,0,0,1,9.90,0.00,1022124032,0,0
1.0098,62713856,0.1900,19.68,0,0,1,9.84,0.00,1020981248,0,0
1.1107,63107072,0.2000,9.90,0,0,1,4.33,0.00,1021435904,0,0
1.2117,64155648,0.2100,9.90,0,0,1,1.86,0.00,1022742528,0,0
1.3127,64286720,0.2200,9.90,0,0,1,3.09,0.00,1022742528,0,0
1.4138,64417792,0.2400,19.79,0,0,1,1.86,0.00,1022742528,0,0
1.5146,65597440,0.2500,9.91,0,0,1,2.48,0.00,1023774720,0,0
1.6155,66121728,0.2700,19.84,0,0,1,2.48,0.00,1023774720,0,0
1.7162,66383872,0.2700,0.00,0,0,1,2.48,0.00,1023774720,0,0
1.8170,66646016,0.2900,19.84,0,0,1,3.10,0.00,1023766528,0,0
1.9178,67039232,0.3100,19.84,0,0,1,1.86,0.00,1024802816,0,0
2.0186,67170304,0.3200,9.92,0,0,1,2.48,0.00,1025781760,0,0
2.1193,81981440,0.3800,59.57,0,0,1,4.34,0.00,1040240640,0,0
2.2202,98541568,0.5700,188.30,0,0,1,11.77,0.00,1056776192,0,0
2.3213,214933504,1.3700,791.46,0,0,1,53.18,0.00,1160843264,0,0
2.3683,0,1.3700,0.00,0,0,0,10.65,0.00,1032519680,0,0
