t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,995975168,0,0
0.1006,51437568,0.0500,49.71,0,0,1,4.35,0.00,1010540544,0,0
0.2015,53927936,0.0700,19.82,0,0,1,2.48,0.00,1011572736,0,0
0.3024,55631872,0.0900,19.81,0,0,1,2.48,0.00,1012604928,0,0
0.4033,60219392,0.1100,19.84,0,0,1,2.48,0.00,1013121024,0,0
0.5043,60612608,0.1200,9.90,0,0,1,2.48,0.00,1013637120,0,0
0.6051,61399040,0.1300,9.91,0,0,1,1.24,0.00,1014140928,0,0
0.7059,61792256,0.1500,19.86,0,0,1,3.10,0.00,1014657024,0,0
0.8068,62185472,0.1600,9.91,0,0,1,2.48,0.00,1014657024,0,0
0.9076,62709760,0.1700,9.92,0,0,1,2.48,0.00,1015689216,0,0
1.0085,63365120,0.1900,19.81,0,0,1,7.43,0.00,1020334080,0,0
1.1095,64413696,0.2000,9.91,0,0,1,3.71,0.00,1022910464,0,0
1.2105,64413696,0.2100,9.90,0,0,1,15.47,0.00,1024888832,0,0
1.3114,64675840,0.2200,9.90,0,0,1,3.71,0.00,1025576960,0,0
1.4124,64675840,0.2300,9.91,0,0,1,11.14,0.00,1028820992,0,0
1.5133,65855488,0.2600,29.74,0,0,1,2.48,0.00,1029853184,0,0
1.6141,66248704,0.2700,9.92,0,0,1,2.48,0.00,1030344704,0,0
1.7149,66510848,0.2800,9.92,0,0,1,1.86,0.00,1030344704,0,0
1.8159,66772992,0.2800,0.00,0,0,1,2.47,0.00,1030860800,0,0
1.9166,67297280,0.3000,19.86,0,0,1,1.86,0.00,1031622656,0,0
2.0175,67297280,0.3100,9.91,0,0,1,3.10,0.00,1031622656,0,0
2.0523,0,0.3100,0.00,0,0,0,12.55,0.00,1013141504,0,0
