n,group,wall_s_sum,cpu_total_s_sum,cpu_user_s_sum,cpu_sys_s_sum,rss_peak_bytes_sum,io_read_bytes_sum,io_write_bytes_sum,io_rchar_bytes_sum,io_wchar_bytes_sum,sys_cpu_iowait_s_sum
1,compile,5.446447644999807,2.030523999999999,1.3789349999999985,0.6515890000000004,209178624.0,0.0,0.0,7562225.0,49967.0,0.0
1,ptau,25.92396608099898,22.471909,17.535794000000003,4.936115,300179456.0,0.0,0.0,43963273.0,1352625.0,0.00999999999999801
1,zkey,27.33404577799911,16.538645000000002,11.997663,4.5409820000000005,230973440.0,0.0,0.0,48468966.0,585609.0,0.0
2,compile,5.4951021390006645,2.104485999999998,1.3718879999999984,0.7325979999999994,212189184.0,0.0,0.0,7602401.0,51012.0,0.0
2,ptau,26.90554005900003,30.864948000000005,25.603098000000003,5.261850000000001,301637632.0,0.0,0.0,45275162.0,2020902.0,0.0
2,zkey,27.751978178998797,18.407915000000003,13.486001000000002,4.921914000000001,235892736.0,0.0,0.0,49335433.0,346518.0,0.0
4,compile,5.597262196999509,2.200583999999999,1.5173539999999974,0.6832300000000018,187219968.0,0.0,0.0,7591107.0,174803.0,0.0
4,ptau,28.94233882500066,48.980242000000004,43.843227,5.137014999999998,363479040.0,0.0,0.0,47934066.0,3271285.0,0.0
4,zkey,28.581303764999575,21.670345000000008,16.593229000000008,5.077116,245338112.0,0.0,0.0,52510507.0,1765435.0,0.0
8,compile,5.698442850999982,2.6629760000000076,1.6914720000000045,0.971504000000003,209166336.0,0.0,0.0,7845478.0,384220.0,0.0
8,ptau,32.78627806300028,88.644642,83.16099300000002,5.483649,385449984.0,0.0,0.0,54376197.0,7292795.0,0.00999999999999801
8,zkey,29.641049214000304,29.344843999999988,24.32081199999999,5.024031999999998,299814912.0,0.0,0.0,60108314.0,6217805.0,0.0
16,compile,5.887492716000452,2.5013359999999736,1.6363109999999779,0.8650249999999957,215646208.0,0.0,0.0,8274443.0,626780.0,0.0
16,ptau,40.59861450800008,173.011845,167.119744,5.892101000000004,485158912.0,0.0,0.0,66153962.0,13760281.0,0.00999999999999801
16,zkey,32.17262140999992,44.816018000000014,39.54189500000001,5.274123000000003,332513280.0,0.0,0.0,72467240.0,11362510.0,0.0
32,compile,6.253974753000421,2.84609099999993,1.9264069999999265,0.9196840000000037,222011392.0,0.0,0.0,9068840.0,1249477.0,0.0
32,ptau,56.94139394799868,351.001976,344.60281100000003,6.399164999999996,647340032.0,0.0,0.0,97424457.0,29625454.0,0.00999999999999801
32,zkey,37.20696672599934,78.58793700000003,72.77849200000003,5.809444999999997,444596224.0,0.0,0.0,98422145.0,33855869.0,0.0
64,compile,6.992166415999691,3.272621000000001,2.317992000000004,0.9546289999999971,218324992.0,0.0,0.0,10664155.0,4678288.0,0.0
64,ptau,91.64615231500011,744.315702,736.452912,7.862790000000004,865296384.0,0.0,0.0,158083814.0,58516279.0,0.0
64,zkey,47.95266187900006,147.80848600000013,141.4507040000001,6.357782,544370688.0,0.0,0.0,258647958.0,71923229.0,0.0
