t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1046429696,0,0
0.0109,15671296,0.0000,0.00,0,0,1,0.00,0.00,1047461888,0,0
0.0228,35123200,0.0000,0.00,0,0,1,10.49,0.00,1050214400,0,0
0.0337,41115648,0.0200,184.29,0,0,1,23.04,0.00,1048551424,0,0
0.0444,48218112,0.0300,93.69,0,0,1,11.71,0.00,1051648000,0,0
0.0562,50311168,0.0400,84.56,0,0,1,21.14,0.00,1051693056,0,0
0.0668,51306496,0.0500,93.95,0,0,1,11.74,0.00,1052499968,0,0
0.0775,53530624,0.0600,94.05,0,0,1,11.76,0.00,1053016064,0,0
0.0890,59465728,0.0800,173.22,0,0,1,21.65,0.00,1054048256,0,0
0.0997,61284352,0.0800,0.00,0,0,1,11.72,0.00,1054867456,0,0
0.1105,61886464,0.0900,92.62,0,0,1,11.58,0.00,1055641600,0,0
0.1219,63729664,0.1100,174.76,0,0,1,10.92,0.00,1056931840,0,0
0.1326,64970752,0.1200,93.48,0,0,1,11.69,0.00,1057447936,0,0
0.1434,65904640,0.1300,92.70,0,0,1,46.35,0.00,1058480128,0,0
0.1544,67289088,0.1400,91.32,0,0,1,11.41,0.00,1058996224,0,0
0.1652,69574656,0.1500,92.23,0,0,1,11.53,0.00,1059254272,0,0
0.1759,70152192,0.1600,93.47,0,0,1,11.68,0.00,1059512320,0,0
0.1868,73367552,0.1800,183.95,0,0,1,11.50,0.00,1061576704,0,0
0.1977,74719232,0.1900,91.66,0,0,1,22.91,0.00,1062350848,0,0
0.2086,76070912,0.2000,91.97,0,0,1,11.50,0.00,1063641088,0,0
0.2193,76070912,0.2100,93.53,0,0,1,11.69,0.00,1063641088,0,0
0.2299,76070912,0.2200,93.93,0,0,1,11.74,0.00,1063641088,0,0
0.2409,76402688,0.2300,90.90,0,0,1,11.36,0.00,1063641088,0,0
0.2519,77484032,0.2600,273.49,0,0,1,34.19,0.00,1063899136,0,0
0.2629,77484032,0.2600,0.00,0,0,1,11.29,0.00,1063899136,0,0
0.2741,77754368,0.2800,178.63,0,0,1,33.49,0.00,1063899136,0,0
0.2853,77754368,0.2900,89.77,0,0,1,11.22,0.00,1063899136,0,0
0.2961,77754368,0.3000,92.47,0,0,1,11.56,0.00,1063899136,0,0
0.3071,77754368,0.3100,91.09,0,0,1,11.39,0.00,1063899136,0,0
0.3180,77754368,0.3200,91.39,0,0,1,11.42,0.00,1063899136,0,0
0.3289,77754368,0.3300,91.87,0,0,1,11.48,0.00,1063899136,0,0
0.3402,77754368,0.3400,88.79,0,0,1,11.10,0.00,1063899136,0,0
0.3512,77754368,0.3600,181.34,0,0,1,11.33,0.00,1063899136,0,0
0.3625,77754368,0.3700,88.65,0,0,1,11.08,0.00,1063899136,0,0
0.3738,77754368,0.3900,176.98,0,0,1,22.12,0.00,1063899136,0,0
0.3849,77754368,0.4000,89.53,0,0,1,22.38,0.00,1063899136,0,0
0.3961,78295040,0.4200,179.67,0,0,1,11.23,0.00,1063899136,0,0
0.4073,78295040,0.4300,89.10,0,0,1,11.14,0.00,1063899136,0,0
0.4181,78295040,0.4400,92.91,0,0,1,11.61,0.00,1064157184,0,0
0.4288,78565376,0.4500,92.96,0,0,1,11.62,0.00,1064157184,0,0
0.4398,78565376,0.4600,90.93,0,0,1,11.37,0.00,1064157184,0,0
0.4506,79376384,0.4800,184.93,0,0,1,34.67,0.00,1086173184,0,0
0.4620,79646720,0.5000,175.40,0,0,1,21.92,0.00,1064415232,0,0
0.4732,79220736,0.5300,269.37,0,0,1,56.12,0.00,1064415232,0,0
0.4841,79302656,0.5500,182.10,0,0,1,11.38,0.00,1064931328,0,0
0.4952,82812928,0.5600,90.76,0,0,1,22.69,0.00,1066479616,0,0
0.5060,89300992,0.5900,275.72,0,0,1,34.47,0.00,1071898624,0,0
0.5169,90599424,0.6000,92.36,0,0,1,11.54,0.00,1075769344,0,0
0.5280,92221440,0.6300,268.54,0,0,1,11.19,0.00,1076027392,0,0
0.5396,96530432,0.6500,172.91,0,0,1,21.61,0.00,1080995840,0,0
0.5503,106508288,0.6700,187.67,0,0,1,23.46,0.00,1086492672,0,0
0.5613,113078272,0.7100,363.44,0,0,1,22.72,0.00,1093459968,0,0
0.5725,117944320,0.7400,266.92,0,0,1,111.21,0.00,1097846784,0,0
0.5853,130781184,0.7900,391.48,0,0,1,68.51,0.00,1108627456,0,0
0.5964,136216576,0.8500,538.42,0,0,1,100.95,0.00,1112756224,0,0
0.6076,140386304,0.8900,359.58,0,0,1,44.95,0.00,1116884992,0,0
0.6188,144224256,0.9700,714.40,0,0,1,44.65,0.00,1121529856,0,0
0.6305,149151744,1.0100,341.88,0,0,1,21.37,0.00,1126174720,0,0
0.6413,155738112,1.0800,643.38,0,0,1,22.98,0.00,1131851776,0,0
0.6522,159973376,1.1400,554.64,0,0,1,69.33,0.00,1135722496,0,0
0.6630,161447936,1.1600,185.11,0,0,1,69.42,0.00,1137528832,0,0
0.6738,164249600,1.2900,1201.50,0,0,1,173.29,0.00,1139851264,0,0
0.6847,168665088,1.3400,458.66,0,0,1,45.87,0.00,1141514240,0,0
0.6955,170532864,1.3900,459.91,0,0,1,68.99,0.00,1141772288,0,0
0.7066,173236224,1.4700,720.74,0,0,1,90.09,0.00,1142546432,0,0
0.7175,175730688,1.5500,734.60,0,0,1,80.35,0.00,1143320576,0,0
0.7329,178434048,1.5900,260.80,0,0,1,48.90,0.00,1144094720,0,0
0.7437,180178944,1.7000,1016.42,0,0,1,115.50,0.00,1144610816,0,0
0.7553,180449280,1.7100,86.11,0,0,1,10.76,0.00,1144610816,0,0
0.7660,180449280,1.7100,0.00,0,0,1,11.67,0.00,1144610816,0,0
