t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1044787200,0,0
0.0111,1941504,0.0000,0.00,0,0,1,22.62,0.00,1040084992,0,0
0.0233,6983680,0.0000,0.00,0,0,1,10.22,0.00,1041633280,0,0
0.0341,6983680,0.0000,0.00,0,0,1,11.56,0.00,1041633280,0,0
0.0450,6983680,0.0000,0.00,0,0,1,0.00,0.00,1041633280,0,0
0.0562,7163904,0.0100,89.49,0,0,1,11.19,0.00,1041891328,0,0
0.0673,7163904,0.0100,0.00,0,0,1,11.30,0.00,1042137088,0,0
0.0785,7163904,0.0100,0.00,0,0,1,11.10,0.00,1042137088,0,0
0.0895,7421952,0.0200,90.89,0,0,1,0.00,0.00,1042395136,0,0
0.1005,7421952,0.0200,0.00,0,0,1,11.37,0.00,1042296832,0,0
0.1115,7421952,0.0200,0.00,0,0,1,22.84,0.00,1042296832,0,0
0.1225,7421952,0.0200,0.00,0,0,1,11.28,0.00,1042296832,0,0
0.1334,7688192,0.0300,91.75,0,0,1,0.00,0.00,1042329600,0,0
0.1446,7688192,0.0300,0.00,0,0,1,0.00,0.00,1042329600,0,0
0.1560,7827456,0.0300,0.00,0,0,1,10.98,0.00,1042329600,0,0
0.1670,9248768,0.0300,0.00,0,0,1,0.00,0.00,1042845696,0,0
0.1786,9682944,0.0500,173.07,0,0,1,10.82,0.00,1042845696,0,0
0.1898,9990144,0.0600,88.91,0,0,1,0.00,0.00,1043103744,0,0
0.2013,9990144,0.0600,0.00,0,0,1,0.00,0.00,1043103744,0,0
0.2123,9990144,0.0600,0.00,0,0,1,22.62,0.00,1043103744,0,0
0.2233,9990144,0.0600,0.00,0,0,1,11.41,0.00,1043103744,0,0
0.2343,11640832,0.0700,90.94,0,0,1,11.37,0.00,1043619840,0,0
0.2452,11481088,0.0700,0.00,0,0,1,11.47,0.00,1043619840,0,0
0.2561,11481088,0.0700,0.00,0,0,1,0.00,0.00,1043619840,0,0
0.2671,11481088,0.0700,0.00,0,0,1,0.00,0.00,1043619840,0,0
0.2787,11481088,0.0700,0.00,0,0,1,0.00,0.00,1043619840,0,0
0.2901,14565376,0.0700,0.00,0,0,1,10.96,0.00,1045942272,0,0
0.3009,16658432,0.0800,91.96,0,0,1,11.49,0.00,1047748608,0,0
0.3118,0,0.0800,0.00,0,0,0,11.47,0.00,1041719296,0,0
0.3139,0,0.0800,0.00,0,0,0,0.00,0.00,1041719296,0,0
