t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1041719296,0,0
0.0110,7086080,0.0000,0.00,0,0,1,22.83,0.00,1041719296,0,0
0.0221,22929408,0.0000,0.00,0,0,1,11.22,0.00,1042751488,0,0
0.0331,35176448,0.0100,90.60,0,0,1,11.32,0.00,1045590016,0,0
0.0439,40157184,0.0200,93.19,0,0,1,11.65,0.00,1048686592,0,0
0.0549,45473792,0.0300,90.46,0,0,1,11.31,0.00,1050234880,0,0
0.0664,48267264,0.0300,0.00,0,0,1,10.88,0.00,1051783168,0,0
0.0778,48267264,0.0400,87.47,0,0,1,10.93,0.00,1051783168,0,0
0.0895,48840704,0.0500,86.01,0,0,1,10.75,0.00,1051758592,0,0
0.1012,49172480,0.0700,171.01,0,0,1,32.07,0.00,1052016640,0,0
0.1127,50700288,0.0800,86.28,0,0,1,10.78,0.00,1052532736,0,0
0.1245,51363840,0.0900,85.23,0,0,1,10.65,0.00,1053048832,0,0
0.1357,52125696,0.1000,89.13,0,0,1,11.14,0.00,1053306880,0,0
0.1469,53587968,0.1100,89.49,0,0,1,11.19,0.00,1053564928,0,0
0.1578,58920960,0.1300,182.45,0,0,1,22.81,0.00,1054339072,0,0
0.1688,59854848,0.1400,90.84,0,0,1,11.35,0.00,1054855168,0,0
0.1803,61280256,0.1500,86.95,0,0,1,10.87,0.00,1055629312,0,0
0.1917,61882368,0.1700,176.66,0,0,1,33.12,0.00,1056403456,0,0
0.2027,63184896,0.1800,90.53,0,0,1,11.32,0.00,1057435648,0,0
0.2138,64696320,0.1900,90.35,0,0,1,11.29,0.00,1058209792,0,0
0.2248,65630208,0.2000,90.69,0,0,1,11.34,0.00,1058725888,0,0
0.2358,68677632,0.2200,181.54,0,0,1,22.69,0.00,1059500032,0,0
0.2470,69488640,0.2300,89.33,0,0,1,11.17,0.00,1059500032,0,0
0.2583,72220672,0.2400,88.60,0,0,1,22.15,0.00,1061597184,0,0
0.2693,74649600,0.2500,91.15,0,0,1,11.39,0.00,1061597184,0,0
0.2801,75788288,0.2700,184.19,0,0,1,11.51,0.00,1061855232,0,0
0.2911,77950976,0.2900,182.59,0,0,1,34.24,0.00,1062113280,0,0
0.3020,77950976,0.3000,91.34,0,0,1,11.42,0.00,1062113280,0,0
0.3132,77950976,0.3100,89.72,0,0,1,11.21,0.00,1062113280,0,0
0.3249,78221312,0.3200,85.50,0,0,1,10.69,0.00,1062629376,0,0
0.3358,78553088,0.3500,275.89,0,0,1,11.50,0.00,1062629376,0,0
0.3467,78553088,0.3600,91.51,0,0,1,11.44,0.00,1062629376,0,0
0.3578,78553088,0.3700,89.58,0,0,1,11.20,0.00,1062629376,0,0
0.3687,78553088,0.3800,91.87,0,0,1,11.48,0.00,1062629376,0,0
0.3799,78553088,0.3900,89.43,0,0,1,11.18,0.00,1062629376,0,0
0.3916,78553088,0.4100,171.53,0,0,1,32.16,0.00,1062629376,0,0
