t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1045229568,0,0
0.0129,15712256,0.0000,0.00,0,0,1,19.45,0.00,1045483520,0,0
0.0237,35164160,0.0100,92.46,0,0,1,23.12,0.00,1050419200,0,0
0.0348,40067072,0.0200,89.55,0,0,1,11.19,0.00,1053257728,0,0
0.0468,48259072,0.0300,83.54,0,0,1,20.88,0.00,1056612352,0,0
0.0576,49164288,0.0300,0.00,0,0,1,11.55,0.00,1056870400,0,0
0.0685,50962432,0.0400,92.01,0,0,1,11.50,0.00,1057644544,0,0
0.0796,51933184,0.0500,90.09,0,0,1,11.26,0.00,1058160640,0,0
0.0903,53579776,0.0600,93.88,0,0,1,11.73,0.00,1058676736,0,0
0.1014,59097088,0.0700,89.61,0,0,1,11.20,0.00,1059192832,0,0
0.1127,59965440,0.0900,177.79,0,0,1,22.22,0.00,1059450880,0,0
0.1235,61181952,0.1000,92.39,0,0,1,11.55,0.00,1059966976,0,0
0.1350,62054400,0.1100,86.62,0,0,1,10.83,0.00,1060741120,0,0
0.1465,62754816,0.1200,87.38,0,0,1,10.92,0.00,1060999168,0,0
0.1573,65519616,0.1300,92.12,0,0,1,11.52,0.00,1061773312,0,0
0.1684,65789952,0.1600,271.52,0,0,1,11.31,0.00,1062289408,0,0
0.1797,67153920,0.1600,0.00,0,0,1,11.07,0.00,1062805504,0,0
0.1907,67424256,0.1700,90.59,0,0,1,45.30,0.00,1063321600,0,0
0.2017,68665344,0.2000,273.18,0,0,1,11.38,0.00,1063837696,0,0
0.2127,69472256,0.2100,90.89,0,0,1,22.72,0.00,1063837696,0,0
0.2238,69742592,0.2100,0.00,0,0,1,11.28,0.00,1064095744,0,0
0.2347,72716288,0.2300,183.03,0,0,1,22.88,0.00,1066160128,0,0
0.2458,73793536,0.2400,90.11,0,0,1,22.53,0.00,1066676224,0,0
0.2567,76079104,0.2600,183.80,0,0,1,11.49,0.00,1068224512,0,0
0.2676,76079104,0.2700,91.92,0,0,1,11.49,0.00,1068224512,0,0
0.2785,76079104,0.2800,91.35,0,0,1,11.42,0.00,1068224512,0,0
0.2895,76079104,0.2900,90.91,0,0,1,11.36,0.00,1068482560,0,0
0.3005,76890112,0.3200,274.25,0,0,1,57.14,0.00,1068482560,0,0
0.3124,76890112,0.3300,83.71,0,0,1,10.46,0.00,1068482560,0,0
0.3233,77160448,0.3400,91.75,0,0,1,11.47,0.00,1068482560,0,0
0.3345,77160448,0.3500,89.05,0,0,1,11.13,0.00,1068482560,0,0
0.3465,77160448,0.3600,83.77,0,0,1,10.47,0.00,1068482560,0,0
0.3573,77160448,0.3700,91.95,0,0,1,11.49,0.00,1068482560,0,0
0.3681,77160448,0.3800,93.30,0,0,1,34.99,0.00,1068482560,0,0
0.3793,77160448,0.3900,88.74,0,0,1,11.09,0.00,1068482560,0,0
0.3903,77701120,0.4100,182.28,0,0,1,34.18,0.00,1068740608,0,0
0.4015,77701120,0.4300,179.30,0,0,1,44.82,0.00,1068740608,0,0
0.4123,77701120,0.4400,92.44,0,0,1,11.56,0.00,1068740608,0,0
0.4231,77701120,0.4500,92.48,0,0,1,34.68,0.00,1068740608,0,0
0.4342,77701120,0.4600,90.12,0,0,1,11.27,0.00,1068740608,0,0
0.4459,77971456,0.4700,85.10,0,0,1,10.64,0.00,1068740608,0,0
0.4568,78241792,0.5000,275.33,0,0,1,22.94,0.00,1068998656,0,0
0.4679,79863808,0.5200,181.11,0,0,1,22.64,0.00,1068998656,0,0
0.4790,79110144,0.5400,179.70,0,0,1,11.23,0.00,1068998656,0,0
0.4899,81539072,0.5500,91.59,0,0,1,11.45,0.00,1070546944,0,0
0.5008,89649152,0.5700,183.35,0,0,1,45.84,0.00,1077772288,0,0
0.5117,90722304,0.6100,368.39,0,0,1,23.02,0.00,1080352768,0,0
0.5226,91385856,0.6300,182.48,0,0,1,11.40,0.00,1080352768,0,0
0.5336,96829440,0.6500,181.85,0,0,1,11.37,0.00,1083539456,0,0
0.5447,108716032,0.6700,180.79,0,0,1,22.60,0.00,1090822144,0,0
0.5553,113967104,0.6900,188.00,0,0,1,11.75,0.00,1094692864,0,0
