t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1040797696,0,0
0.0109,0,0.0000,0.00,0,0,0,0.00,0.00,1040797696,0,0
0.0216,18870272,0.0000,0.00,0,0,1,0.00,0.00,1035579392,0,0
0.0325,35196928,0.0000,0.00,0,0,1,11.42,0.00,1042575360,0,0
0.0433,41189376,0.0100,93.15,0,0,1,34.93,0.00,1045671936,0,0
0.0545,48291840,0.0200,88.87,0,0,1,11.11,0.00,1048768512,0,0
0.0653,49197056,0.0300,92.36,0,0,1,11.55,0.00,1048854528,0,0
0.0762,50720768,0.0400,91.78,0,0,1,11.47,0.00,1049370624,0,0
0.0871,51384320,0.0500,92.39,0,0,1,23.10,0.00,1049886720,0,0
0.0980,52023296,0.0600,91.54,0,0,1,11.44,0.00,1050144768,0,0
0.1088,54611968,0.0900,276.50,0,0,1,11.52,0.00,1050918912,0,0
0.1201,59539456,0.1000,88.66,0,0,1,11.08,0.00,1052663808,0,0
0.1309,60817408,0.1000,0.00,0,0,1,23.19,0.00,1053179904,0,0
0.1417,61358080,0.1100,92.05,0,0,1,11.51,0.00,1053954048,0,0
0.1536,61960192,0.1400,253.77,0,0,1,21.15,0.00,1054470144,0,0
0.1644,62992384,0.1500,91.94,0,0,1,11.49,0.00,1054986240,0,0
0.1752,64073728,0.1600,92.87,0,0,1,34.83,0.00,1056018432,0,0
0.1869,65167360,0.1700,85.86,0,0,1,10.73,0.00,1056792576,0,0
0.1975,68259840,0.1800,94.10,0,0,1,47.05,0.00,1057308672,0,0
0.2082,69230592,0.1900,93.34,0,0,1,11.67,0.00,1058082816,0,0
0.2190,69746688,0.2000,92.25,0,0,1,11.53,0.00,1058340864,0,0
0.2297,71761920,0.2100,93.96,0,0,1,11.74,0.00,1058856960,0,0
0.2403,74252288,0.2300,187.59,0,0,1,23.45,0.00,1060921344,0,0
0.2510,76144640,0.2400,93.63,0,0,1,11.70,0.00,1062727680,0,0
0.2618,76144640,0.2500,93.15,0,0,1,11.64,0.00,1062727680,0,0
0.2727,76144640,0.2600,91.33,0,0,1,22.83,0.00,1062727680,0,0
0.2836,76955648,0.2900,274.88,0,0,1,45.81,0.00,1062813696,0,0
0.2943,77283328,0.3000,94.06,0,0,1,11.76,0.00,1063071744,0,0
0.3049,77283328,0.3100,93.92,0,0,1,11.74,0.00,1063071744,0,0
0.3155,77283328,0.3200,93.98,0,0,1,11.75,0.00,1063071744,0,0
0.3262,77283328,0.3300,93.72,0,0,1,11.71,0.00,1063071744,0,0
0.3372,77283328,0.3400,91.13,0,0,1,11.39,0.00,1063071744,0,0
0.3482,77283328,0.3500,90.48,0,0,1,11.31,0.00,1063071744,0,0
0.3594,77283328,0.3600,89.46,0,0,1,11.18,0.00,1063071744,0,0
0.3704,77238272,0.3800,181.54,0,0,1,34.04,0.00,1064361984,0,0
0.3813,77238272,0.3900,91.78,0,0,1,11.47,0.00,1064361984,0,0
0.3923,77238272,0.4000,90.78,0,0,1,11.35,0.00,1064361984,0,0
0.4034,77238272,0.4200,181.04,0,0,1,45.26,0.00,1064361984,0,0
0.4144,77238272,0.4300,90.70,0,0,1,11.34,0.00,1064361984,0,0
0.4261,77721600,0.4500,171.80,0,0,1,32.21,0.00,1065136128,0,0
0.4371,78532608,0.4700,180.39,0,0,1,22.55,0.00,1065910272,0,0
0.4481,79134720,0.4900,183.13,0,0,1,22.89,0.00,1066942464,0,0
0.4598,80293888,0.5000,85.28,0,0,1,21.32,0.00,1066942464,0,0
0.4708,90800128,0.5300,272.84,0,0,1,22.74,0.00,1077006336,0,0
0.4837,90652672,0.5700,310.90,0,0,1,58.29,0.00,1078554624,0,0
0.4943,95236096,0.5800,94.18,0,0,1,47.09,0.00,1080303616,0,0
0.5052,100888576,0.6100,275.52,0,0,1,22.96,0.00,1082355712,0,0
0.5160,105857024,0.6400,276.52,0,0,1,23.04,0.00,1087516672,0,0
0.5269,112885760,0.6700,275.24,0,0,1,22.94,0.00,1091645440,0,0
0.5378,117481472,0.7000,276.44,0,0,1,23.04,0.00,1094483968,0,0
0.5487,123969536,0.7200,183.08,0,0,1,91.54,0.00,1098870784,0,0
0.5597,125640704,0.7500,273.38,0,0,1,11.39,0.00,1100161024,0,0
0.5709,131231744,0.7900,355.18,0,0,1,44.40,0.00,1104289792,0,0
0.5817,139644928,0.8400,462.01,0,0,1,80.85,0.00,1112547328,0,0
0.5926,145731584,0.9100,643.00,0,0,1,91.86,0.00,1118740480,0,0
0.6035,153456640,0.9900,732.95,0,0,1,57.26,0.00,1126481920,0,0
0.6145,155471872,1.0100,182.97,0,0,1,22.87,0.00,1128030208,0,0
0.6257,159256576,1.0800,623.18,0,0,1,77.90,0.00,1132158976,0,0
0.6371,163794944,1.1700,787.08,0,0,1,87.45,0.00,1136545792,0,0
0.6481,167919616,1.2300,547.01,0,0,1,68.38,0.00,1139900416,0,0
0.6593,170893312,1.3000,625.11,0,0,1,89.30,0.00,1142996992,0,0
0.6711,173383680,1.3900,762.72,0,0,1,63.56,0.00,1145319424,0,0
0.6818,176357376,1.4300,372.73,0,0,1,46.59,0.00,1148157952,0,0
0.6952,177709056,1.5400,822.82,0,0,1,149.60,0.00,1149964288,0,0
0.7062,178913280,1.5700,272.94,0,0,1,11.37,0.00,1150996480,0,0
0.7169,181379072,1.5800,93.18,0,0,1,11.65,0.00,1152802816,0,0
0.7279,183001088,1.5900,91.18,0,0,1,0.00,0.00,1154351104,0,0
0.7389,185974784,1.6000,90.63,0,0,1,0.00,0.00,1156931584,0,0
0.7499,194625536,1.6500,454.28,0,0,1,90.86,0.00,1160544256,0,0
0.7609,202465280,1.6600,91.63,0,0,1,11.45,0.00,1165963264,0,0
0.7717,203005952,1.6800,183.78,0,0,1,22.97,0.00,1166372864,0,0
0.7826,203546624,1.6900,92.25,0,0,1,23.06,0.00,1166888960,0,0
0.7936,204419072,1.7200,271.17,0,0,1,56.49,0.00,1167405056,0,0
0.8044,204181504,1.7400,185.80,0,0,1,34.84,0.00,1167405056,0,0
0.8151,206884864,1.7800,374.14,0,0,1,35.08,0.00,1170243584,0,0
0.8259,207425536,1.8000,184.68,0,0,1,11.54,0.00,1170243584,0,0
0.8369,207425536,1.8100,91.15,0,0,1,11.39,0.00,1170243584,0,0
0.8475,208236544,1.8200,94.35,0,0,1,11.79,0.00,1171017728,0,0
0.8590,209317888,1.8300,87.27,0,0,1,10.91,0.00,1172049920,0,0
0.8696,216346624,1.8600,282.34,0,0,1,70.58,0.00,1173856256,0,0
0.8805,219860992,1.9000,366.28,0,0,1,22.89,0.00,1176694784,0,0
0.8917,220131328,1.9100,89.67,0,0,1,22.42,0.00,1176694784,0,0
0.9034,216600576,1.9500,339.75,0,0,1,84.94,0.00,1176952832,0,0
0.9143,216600576,1.9600,92.33,0,0,1,23.08,0.00,1177210880,0,0
0.9252,216600576,1.9700,91.64,0,0,1,22.91,0.00,1177210880,0,0
0.9367,219570176,1.9900,173.47,0,0,1,54.21,0.00,1179791360,0,0
0.9477,217542656,2.0100,181.71,0,0,1,22.71,0.00,1179791360,0,0
0.9586,217542656,2.0200,91.40,0,0,1,45.70,0.00,1179791360,0,0
