t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1053007872,0,0
0.0107,0,0.0000,0.00,0,0,0,0.00,0.00,1052397568,0,0
0.0212,13017088,0.0000,0.00,0,0,1,11.92,0.00,1047179264,0,0
0.0321,36597760,0.0000,0.00,0,0,1,11.47,0.00,1051828224,0,0
0.0428,40189952,0.0000,0.00,0,0,1,11.68,0.00,1054408704,0,0
0.0539,46682112,0.0300,270.16,0,0,1,11.26,0.00,1055956992,0,0
0.0654,48295936,0.0300,0.00,0,0,1,10.82,0.00,1057390592,0,0
0.0763,50388992,0.0400,92.17,0,0,1,11.52,0.00,1057796096,0,0
0.0873,51388416,0.0600,181.77,0,0,1,45.44,0.00,1058570240,0,0
0.0982,53612544,0.0700,91.64,0,0,1,11.45,0.00,1059086336,0,0
0.1087,58945536,0.0900,189.45,0,0,1,23.68,0.00,1060118528,0,0
0.1194,60764160,0.1000,93.46,0,0,1,11.68,0.00,1061150720,0,0
0.1306,61906944,0.1100,89.47,0,0,1,22.37,0.00,1062182912,0,0
0.1412,63746048,0.1200,94.57,0,0,1,11.82,0.00,1062957056,0,0
0.1520,65110016,0.1300,92.44,0,0,1,23.11,0.00,1063989248,0,0
0.1635,68263936,0.1400,87.09,0,0,1,10.89,0.00,1065021440,0,0
0.1744,69074944,0.1600,182.77,0,0,1,11.42,0.00,1065279488,0,0
0.1857,69922816,0.1700,88.68,0,0,1,11.09,0.00,1065795584,0,0
0.1969,72286208,0.1700,0.00,0,0,1,11.22,0.00,1069989888,0,0
0.2078,74383360,0.1700,0.00,0,0,1,11.45,0.00,1069989888,0,0
0.2186,76480512,0.1700,0.00,0,0,1,0.00,0.00,1074184192,0,0
0.2297,76480512,0.1700,0.00,0,0,1,11.26,0.00,1078378496,0,0
0.2402,78577664,0.1700,0.00,0,0,1,11.88,0.00,1078378496,0,0
0.2513,80674816,0.1700,0.00,0,0,1,0.00,0.00,1078378496,0,0
0.2626,82771968,0.1700,0.00,0,0,1,0.00,0.00,1082572800,0,0
0.2734,84869120,0.1700,0.00,0,0,1,0.00,0.00,1082818560,0,0
0.2842,85110784,0.1700,0.00,0,0,1,11.60,0.00,1083162624,0,0
0.2955,86462464,0.1700,0.00,0,0,1,11.05,0.00,1084452864,0,0
0.3065,86462464,0.1800,90.61,0,0,1,22.65,0.00,1084452864,0,0
0.3179,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.3293,86462464,0.1800,0.00,0,0,1,10.98,0.00,1084452864,0,0
0.3401,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.3511,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.3627,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.3733,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.3839,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.3951,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084452864,0,0
0.4057,86462464,0.1800,0.00,0,0,1,0.00,0.00,1084698624,0,0
