t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1037606912,0,0
0.0111,3551232,0.0000,0.00,0,0,1,0.00,0.00,1034539008,0,0
0.0221,32468992,0.0000,0.00,0,0,1,11.30,0.00,1034993664,0,0
0.0336,33062912,0.0000,0.00,0,0,1,10.93,0.00,1034993664,0,0
0.0444,37965824,0.0100,92.35,0,0,1,11.54,0.00,1037918208,0,0
0.0553,40775680,0.0400,275.60,0,0,1,11.48,0.00,1039208448,0,0
0.0666,46157824,0.0500,88.61,0,0,1,33.23,0.00,1040797696,0,0
0.0776,47063040,0.0600,90.81,0,0,1,11.35,0.00,1040805888,0,0
0.0890,48250880,0.0700,87.27,0,0,1,10.91,0.00,1041321984,0,0
0.1001,49246208,0.0800,90.01,0,0,1,11.25,0.00,1041838080,0,0
0.1113,49823744,0.0900,89.68,0,0,1,11.21,0.00,1042096128,0,0
0.1226,50954240,0.1000,88.62,0,0,1,11.08,0.00,1042354176,0,0
0.1338,56803328,0.1200,177.63,0,0,1,11.10,0.00,1043902464,0,0
0.1448,57344000,0.1300,91.11,0,0,1,11.39,0.00,1044418560,0,0
0.1561,58621952,0.1400,88.40,0,0,1,22.10,0.00,1044934656,0,0
0.1671,59432960,0.1600,182.81,0,0,1,11.43,0.00,1045708800,0,0
0.1780,60526592,0.1700,91.29,0,0,1,11.41,0.00,1046224896,0,0
0.1894,61607936,0.1800,88.06,0,0,1,11.01,0.00,1047257088,0,0
0.2007,62578688,0.1900,88.19,0,0,1,11.02,0.00,1048031232,0,0
0.2117,63242240,0.2000,91.15,0,0,1,11.39,0.00,1048547328,0,0
0.2231,66826240,0.2100,87.71,0,0,1,10.96,0.00,1049063424,0,0
0.2344,66826240,0.2300,177.13,0,0,1,11.07,0.00,1049837568,0,0
0.2456,69492736,0.2400,89.24,0,0,1,33.47,0.00,1051934720,0,0
0.2567,70332416,0.2500,89.63,0,0,1,11.20,0.00,1052708864,0,0
0.2677,73568256,0.2700,182.16,0,0,1,22.77,0.00,1054515200,0,0
0.2786,74440704,0.2800,91.65,0,0,1,22.91,0.00,1055289344,0,0
0.2900,75792384,0.3000,175.99,0,0,1,11.00,0.00,1056579584,0,0
0.3011,76062720,0.3100,90.17,0,0,1,11.27,0.00,1056837632,0,0
0.3130,76062720,0.3200,83.74,0,0,1,10.47,0.00,1056837632,0,0
0.3248,76062720,0.3300,84.96,0,0,1,10.62,0.00,1056837632,0,0
0.3362,76062720,0.3500,175.26,0,0,1,43.82,0.00,1056780288,0,0
0.3469,76873728,0.3700,186.18,0,0,1,11.64,0.00,1056780288,0,0
0.3580,76873728,0.3800,90.61,0,0,1,11.33,0.00,1056780288,0,0
0.3688,77144064,0.3900,92.24,0,0,1,11.53,0.00,1056780288,0,0
0.3797,77144064,0.4000,91.74,0,0,1,11.47,0.00,1056780288,0,0
0.3909,77144064,0.4100,89.83,0,0,1,11.23,0.00,1056780288,0,0
0.4017,77144064,0.4200,92.27,0,0,1,11.53,0.00,1056780288,0,0
0.4125,77144064,0.4300,92.82,0,0,1,11.60,0.00,1056780288,0,0
0.4235,77144064,0.4400,90.82,0,0,1,11.35,0.00,1056780288,0,0
0.4349,77144064,0.4500,87.66,0,0,1,10.96,0.00,1056780288,0,0
0.4460,76738560,0.4800,270.41,0,0,1,33.80,0.00,1057038336,0,0
0.4592,76738560,0.4900,75.92,0,0,1,9.49,0.00,1057038336,0,0
0.4701,76738560,0.5000,91.48,0,0,1,11.43,0.00,1057038336,0,0
0.4813,76738560,0.5100,89.16,0,0,1,11.15,0.00,1057038336,0,0
0.4923,76738560,0.5200,90.56,0,0,1,11.32,0.00,1057038336,0,0
0.5034,77545472,0.5400,181.64,0,0,1,11.35,0.00,1057038336,0,0
0.5144,77717504,0.5700,271.81,0,0,1,45.30,0.00,1057296384,0,0
0.5255,78020608,0.6000,270.08,0,0,1,45.01,0.00,1057296384,0,0
0.5368,78786560,0.6100,88.62,0,0,1,22.15,0.00,1057812480,0,0
0.5476,84254720,0.6200,92.32,0,0,1,23.08,0.00,1060651008,0,0
0.5587,92364800,0.6500,269.71,0,0,1,22.48,0.00,1067360256,0,0
0.5701,90451968,0.6800,263.32,0,0,1,32.92,0.00,1067876352,0,0
0.5812,91258880,0.7000,180.30,0,0,1,11.27,0.00,1068134400,0,0
0.5922,96432128,0.7300,273.57,0,0,1,11.40,0.00,1070444544,0,0
0.6040,107712512,0.7500,169.13,0,0,1,21.14,0.00,1076310016,0,0
0.6153,107421696,0.7800,265.44,0,0,1,22.12,0.00,1078374400,0,0
0.6263,112287744,0.8000,181.98,0,0,1,56.87,0.00,1082503168,0,0
0.6372,117964800,0.8300,274.17,0,0,1,34.27,0.00,1085599744,0,0
0.6481,124452864,0.8700,369.77,0,0,1,23.11,0.00,1089986560,0,0
0.6592,130457600,0.9200,449.77,0,0,1,78.71,0.00,1095405568,0,0
0.6700,135319552,0.9700,460.17,0,0,1,92.03,0.00,1100050432,0,0
0.6809,141443072,1.0200,458.69,0,0,1,45.87,0.00,1105985536,0,0
0.6922,146305024,1.0700,445.38,0,0,1,44.54,0.00,1111146496,0,0
0.7036,152375296,1.1500,702.34,0,0,1,87.79,0.00,1117081600,0,0
0.7163,156737536,1.2100,469.77,0,0,1,107.66,0.00,1121726464,0,0
0.7298,158937088,1.3200,818.90,0,0,1,74.45,0.00,1123463168,0,0
0.7412,159748096,1.3700,437.19,0,0,1,54.65,0.00,1123463168,0,0
0.7522,163667968,1.4800,1004.19,0,0,1,91.29,0.00,1123721216,0,0
0.7644,166883328,1.5100,245.41,0,0,1,71.58,0.00,1124495360,0,0
0.7762,169046016,1.6100,845.28,0,0,1,158.49,0.00,1124495360,0,0
0.7878,171540480,1.6900,692.31,0,0,1,75.72,0.00,1124753408,0,0
0.7996,173162496,1.7400,423.51,0,0,1,21.18,0.00,1125527552,0,0
0.8112,174366720,1.7900,430.22,0,0,1,64.53,0.00,1125527552,0,0
0.8244,175177728,1.8800,681.06,0,0,1,66.21,0.00,1125785600,0,0
0.8355,176799744,1.9300,449.10,0,0,1,101.05,0.00,1127075840,0,0
0.8467,177766400,1.9400,90.02,0,0,1,11.25,0.00,1127591936,0,0
0.8579,178638848,1.9600,177.89,0,0,1,11.12,0.00,1127849984,0,0
0.8688,178638848,1.9700,91.44,0,0,1,11.43,0.00,1127849984,0,0
0.8800,178909184,1.9800,89.90,0,0,1,0.00,0.00,1128108032,0,0
0.8987,180260864,2.0700,479.47,0,0,1,93.23,0.00,1128882176,0,0
0.9106,180260864,2.1500,671.63,0,0,1,94.45,0.00,1128882176,0,0
0.9215,180260864,2.2200,642.93,0,0,1,91.85,0.00,1128882176,0,0
0.9325,180260864,2.3000,729.86,0,0,1,91.23,0.00,1128882176,0,0
0.9470,180260864,2.4500,1034.00,0,0,1,137.87,0.00,1128882176,0,0
0.9580,180260864,2.5200,637.67,0,0,1,79.71,0.00,1128882176,0,0
0.9707,180260864,2.6100,705.64,0,0,1,88.20,0.00,1128882176,0,0
0.9836,180531200,2.6900,620.75,0,0,1,77.59,0.00,1128882176,0,0
0.9945,180531200,2.7900,918.21,0,0,1,91.82,0.00,1128882176,0,0
1.0055,180531200,2.8600,637.90,0,0,1,91.13,0.00,1128882176,0,0
1.0211,180531200,3.0100,962.70,0,0,1,128.36,0.00,1128882176,0,0
1.0407,180531200,3.1600,765.10,0,0,1,102.01,0.00,1128882176,0,0
1.0520,180531200,3.3000,1238.11,0,0,1,154.76,0.00,1128882176,0,0
1.0749,180531200,3.4000,435.41,0,0,1,54.43,0.00,1128882176,0,0
1.0885,180531200,3.5400,1029.98,0,0,1,147.14,0.00,1128882176,0,0
1.0995,180531200,3.6000,548.22,0,0,1,79.95,0.00,1129140224,0,0
1.1104,180531200,3.6800,731.90,0,0,1,91.49,0.00,1129140224,0,0
1.1224,180531200,3.7800,834.84,0,0,1,93.92,0.00,1129140224,0,0
1.1334,180531200,3.8400,547.30,0,0,1,79.81,0.00,1196511232,0,0
1.1441,180531200,3.9400,926.90,0,0,1,81.10,0.00,1196511232,0,0
