t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1023537152,0,0
0.1005,51433472,0.0500,49.77,0,0,1,6.22,0.00,1026777088,0,0
0.2016,54317056,0.0700,19.78,0,0,1,3.71,0.00,1029357568,0,0
0.3025,56020992,0.0900,19.81,0,0,1,3.09,0.00,1030115328,0,0
0.4034,60477440,0.1000,9.92,0,0,1,1.86,0.00,1031147520,0,0
0.5043,60870656,0.1200,19.81,0,0,1,1.86,0.00,1031147520,0,0
0.6052,61132800,0.1300,9.92,0,0,1,4.34,0.00,1032695808,0,0
0.7063,61526016,0.1500,19.78,0,0,1,21.63,0.00,1035935744,0,0
0.8073,62050304,0.1500,0.00,0,0,1,1.86,0.00,1036193792,0,0
0.9082,62574592,0.1700,19.81,0,0,1,3.10,0.00,1037123584,0,0
1.0091,62967808,0.1800,9.91,0,0,1,1.86,0.00,1037123584,0,0
1.1102,63492096,0.2000,19.78,0,0,1,3.09,0.00,1037365248,0,0
1.2113,64409600,0.2200,19.78,0,0,1,1.85,0.00,1037623296,0,0
1.3123,64540672,0.2300,9.90,0,0,1,3.09,0.00,1037873152,0,0
1.4133,64540672,0.2400,9.90,0,0,1,1.24,0.00,1037873152,0,0
1.5146,65589248,0.2500,9.87,0,0,1,1.85,0.00,1038905344,0,0
1.6154,65982464,0.2700,19.84,0,0,1,1.24,0.00,1038905344,0,0
1.7162,66113536,0.2800,9.92,0,0,1,1.86,0.00,1038905344,0,0
1.8172,66244608,0.2900,9.90,0,0,1,2.48,0.00,1038913536,0,0
1.9180,67031040,0.3000,9.92,0,0,1,2.48,0.00,1039155200,0,0
2.0191,67162112,0.3200,19.80,0,0,1,2.47,0.00,1039421440,0,0
2.1200,71749632,0.3300,9.91,0,0,1,1.86,0.00,1044131840,0,0
2.2211,88395776,0.4900,158.39,0,0,1,12.37,0.00,1059274752,0,0
2.3221,133140480,0.6700,178.18,0,0,1,13.61,0.00,1103216640,0,0
2.4232,156995584,0.8300,158.20,0,0,1,8.03,0.00,1127141376,0,0
2.5244,168267776,0.9500,118.63,0,0,1,9.27,0.00,1137463296,0,0
2.6255,169840640,0.9700,19.78,0,0,1,2.47,0.00,1139527680,0,0
2.7264,169840640,0.9800,9.91,0,0,1,1.86,0.00,1139535872,0,0
2.8273,169971712,0.9900,9.91,0,0,1,5.58,0.00,1139535872,0,0
2.9282,169971712,1.0100,19.82,0,0,1,6.81,0.00,1134387200,0,0
3.0291,170102784,1.0200,9.91,0,0,1,1.86,0.00,1134387200,0,0
3.1299,170102784,1.0200,0.00,0,0,1,1.86,0.00,1134632960,0,0
3.2309,170102784,1.0400,19.82,0,0,1,3.10,0.00,1134632960,0,0
3.3319,172199936,1.2000,158.28,0,0,1,8.66,0.00,1136697344,0,0
3.4329,172331008,1.3000,99.09,0,0,1,6.81,0.00,1136947200,0,0
3.5339,172593152,1.3500,49.48,0,0,1,4.33,0.00,1136947200,0,0
3.6351,172593152,1.4200,69.18,0,0,1,4.94,0.00,1136947200,0,0
3.7361,172593152,1.4800,59.37,0,0,1,3.71,0.00,1136947200,0,0
3.8374,172593152,1.5400,59.27,0,0,1,4.32,0.00,1137205248,0,0
3.9385,172593152,1.6000,59.34,0,0,1,4.33,0.00,1137205248,0,0
4.0395,172593152,1.6600,59.41,0,0,1,4.33,0.00,1137205248,0,0
4.1406,172593152,1.7100,49.45,0,0,1,3.71,0.00,1137205248,0,0
4.2417,172593152,1.7700,59.36,0,0,1,4.95,0.00,1137205248,0,0
4.3432,172593152,1.8300,59.11,0,0,1,4.31,0.00,1137205248,0,0
4.4441,172593152,1.8900,59.45,0,0,1,3.10,0.00,1137205248,0,0
4.5453,172724224,1.9500,59.30,0,0,1,3.71,0.00,1137205248,0,0
4.6464,172724224,2.0000,49.44,0,0,1,3.71,0.00,1137205248,0,0
4.7476,172724224,2.0300,29.65,0,0,1,2.47,0.00,1137205248,0,0
4.8485,172724224,2.0700,39.65,0,0,1,2.48,0.00,1137205248,0,0
4.9494,172724224,2.1100,39.63,0,0,1,2.48,0.00,1137205248,0,0
5.0504,172724224,2.1400,29.70,0,0,1,3.71,0.00,1137205248,0,0
5.1514,172855296,2.1700,29.69,0,0,1,1.86,0.00,1137463296,0,0
5.2523,173117440,2.2500,79.31,0,0,1,6.20,0.00,1137463296,0,0
5.2763,0,2.2500,0.00,0,0,0,5.21,0.00,1012383744,0,0
