t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1028706304,0,0
0.1004,51380224,0.0500,49.80,0,0,1,4.98,0.00,1018675200,0,0
0.2014,54132736,0.0800,29.70,0,0,1,3.71,0.00,1020952576,0,0
0.3022,55836672,0.0900,9.92,0,0,1,2.48,0.00,1021956096,0,0
0.4030,60293120,0.1100,19.84,0,0,1,3.72,0.00,1022988288,0,0
0.5039,60686336,0.1200,9.91,0,0,1,1.86,0.00,1023504384,0,0
0.6048,61341696,0.1400,19.82,0,0,1,2.48,0.00,1024536576,0,0
0.7057,61997056,0.1500,9.91,0,0,1,1.86,0.00,1024536576,0,0
0.8064,62128128,0.1600,9.93,0,0,1,1.86,0.00,1024536576,0,0
0.9071,62914560,0.1800,19.86,0,0,1,2.48,0.00,1025568768,0,0
1.0079,63438848,0.1800,0.00,0,0,1,1.86,0.00,1025568768,0,0
1.1088,64487424,0.2000,19.81,0,0,1,3.72,0.00,1026859008,0,0
1.2100,64487424,0.2100,9.89,0,0,1,3.09,0.00,1027133440,0,0
1.3112,64487424,0.2300,19.76,0,0,1,1.85,0.00,1025511424,0,0
1.4121,64487424,0.2300,0.00,0,0,1,1.86,0.00,1025986560,0,0
1.5128,65667072,0.2500,19.84,0,0,1,1.24,0.00,1027018752,0,0
1.6136,66191360,0.2600,9.92,0,0,1,2.48,0.00,1027534848,0,0
1.7144,66453504,0.2700,9.92,0,0,1,1.86,0.00,1027534848,0,0
1.8154,66846720,0.2800,9.90,0,0,1,2.47,0.00,1028050944,0,0
1.9162,67371008,0.3000,19.85,0,0,1,2.48,0.00,1028567040,0,0
2.0172,67502080,0.3100,9.90,0,0,1,1.86,0.00,1029083136,0,0
2.1179,82313216,0.4200,109.20,0,0,1,8.07,0.00,1044795392,0,0
2.2187,153018368,0.7700,347.26,0,0,1,24.18,0.00,1109266432,0,0
2.3199,236748800,1.2600,484.31,0,0,1,28.42,0.00,1190350848,0,0
2.4212,290480128,1.3700,108.51,0,0,1,6.78,0.00,1244467200,0,0
2.5234,214585344,2.2900,900.17,0,0,1,57.48,0.00,1168801792,0,0
2.6251,215240704,3.8700,1553.86,0,0,1,97.73,0.00,1169833984,0,0
2.7354,221925376,4.9500,978.86,0,0,1,59.48,0.00,1174478848,0,0
2.8367,221925376,6.5400,1570.73,0,0,1,98.79,0.00,1174478848,0,0
2.9378,221925376,8.1400,1581.72,0,0,1,98.86,0.00,1174478848,0,0
3.0387,227954688,9.3800,1228.82,0,0,1,77.42,0.00,1179897856,0,0
3.1397,231362560,10.8300,1436.63,0,0,1,89.79,0.00,1216532480,0,0
3.2409,238702592,11.6100,770.46,0,0,1,51.24,0.00,1189765120,0,0
3.2788,0,11.6100,0.00,0,0,0,6.61,0.00,1036836864,0,0
