t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1019990016,0,0
0.1004,51380224,0.0500,49.79,0,0,1,6.22,0.00,1008939008,0,0
0.2015,54132736,0.0800,29.67,0,0,1,3.71,0.00,1012178944,0,0
0.3026,55836672,0.1000,19.78,0,0,1,2.47,0.00,1013440512,0,0
0.4035,60162048,0.1100,9.91,0,0,1,1.24,0.00,1014444032,0,0
0.5044,60555264,0.1200,9.92,0,0,1,1.86,0.00,1014956032,0,0
0.6052,61472768,0.1300,9.92,0,0,1,1.86,0.00,1015504896,0,0
0.7061,62128128,0.1400,9.91,0,0,1,2.48,0.00,1016020992,0,0
0.8069,62128128,0.1500,9.92,0,0,1,2.48,0.00,1016020992,0,0
0.9078,62914560,0.1800,29.73,0,0,1,1.24,0.00,1017053184,0,0
1.0086,63438848,0.1900,9.92,0,0,1,3.72,0.00,1017053184,0,0
1.1096,64487424,0.2000,9.91,0,0,1,3.10,0.00,1018314752,0,0
1.2104,64618496,0.2100,9.92,0,0,1,1.86,0.00,1018314752,0,0
1.3112,64880640,0.2200,9.92,0,0,1,1.86,0.00,1018314752,0,0
1.4120,64880640,0.2400,19.84,0,0,1,0.62,0.00,1018322944,0,0
1.5130,65929216,0.2500,9.90,0,0,1,3.09,0.00,1018580992,0,0
1.6142,66453504,0.2600,9.88,0,0,1,3.09,0.00,1018601472,0,0
1.7154,66715648,0.2700,9.88,0,0,1,0.62,0.00,1018601472,0,0
1.8163,66977792,0.2800,9.90,0,0,1,1.86,0.00,1018585088,0,0
1.9172,67502080,0.3000,19.83,0,0,1,2.48,0.00,1018593280,0,0
2.0181,67633152,0.3100,9.91,0,0,1,2.48,0.00,1018601472,0,0
2.1190,73924608,0.3600,49.58,0,0,1,3.72,0.00,1022619648,0,0
2.2200,91684864,0.5300,168.25,0,0,1,11.75,0.00,1041825792,0,0
2.3212,211918848,1.2300,691.96,0,0,1,43.87,0.00,1149353984,0,0
2.4116,0,1.2300,0.00,0,0,0,24.89,0.00,1022607360,0,0
