t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1001136128,0,0
0.1005,51306496,0.0500,49.73,0,0,1,4.97,0.00,1012736000,0,0
0.2016,54321152,0.0700,19.80,0,0,1,2.47,0.00,1015824384,0,0
0.3025,55894016,0.1000,29.74,0,0,1,1.24,0.00,1016340480,0,0
0.4033,60481536,0.1100,9.91,0,0,1,1.86,0.00,1017679872,0,0
0.5041,60874752,0.1200,9.92,0,0,1,2.48,0.00,1018429440,0,0
0.6049,61530112,0.1400,19.84,0,0,1,1.86,0.00,1018945536,0,0
0.7057,62054400,0.1400,0.00,0,0,1,1.24,0.00,1019682816,0,0
0.8064,62054400,0.1500,9.93,0,0,1,2.48,0.00,1019682816,0,0
0.9073,62709760,0.1600,9.91,0,0,1,2.48,0.00,1020198912,0,0
1.0083,63365120,0.1800,19.81,0,0,1,1.86,0.00,1020715008,0,0
1.1090,64544768,0.2000,19.86,0,0,1,4.34,0.00,1022013440,0,0
1.2097,64544768,0.2100,9.93,0,0,1,1.86,0.00,1022545920,0,0
1.3108,64937984,0.2200,9.89,0,0,1,0.62,0.00,1022803968,0,0
1.4117,64937984,0.2300,9.90,0,0,1,1.86,0.00,1022803968,0,0
1.5129,66117632,0.2500,19.78,0,0,1,2.47,0.00,1023836160,0,0
1.6138,66510848,0.2600,9.91,0,0,1,1.24,0.00,1024352256,0,0
1.7145,66641920,0.2700,9.93,0,0,1,3.10,0.00,1024593920,0,0
1.8153,67035136,0.2900,19.85,0,0,1,2.48,0.00,1025110016,0,0
1.9160,67559424,0.3000,9.93,0,0,1,1.86,0.00,1025626112,0,0
2.0167,67690496,0.3100,9.93,0,0,1,2.48,0.00,1025626112,0,0
2.1176,82501632,0.4100,99.13,0,0,1,13.01,0.00,1042452480,0,0
2.2185,154738688,0.7900,376.61,0,0,1,25.40,0.00,1101246464,0,0
2.3198,236138496,1.3200,523.26,0,0,1,33.32,0.00,1182445568,0,0
2.4208,129875968,1.4400,118.77,0,0,1,10.52,0.00,1113419776,0,0
2.4348,0,1.4400,0.00,0,0,0,13.43,0.00,1032794112,0,0
