t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1030066176,0,0
0.1005,51306496,0.0500,49.77,0,0,1,4.98,0.00,1030340608,0,0
0.2017,54321152,0.0800,29.63,0,0,1,3.09,0.00,1033396224,0,0
0.3026,55894016,0.0900,9.91,0,0,1,3.10,0.00,1035157504,0,0
0.4036,60350464,0.1100,19.79,0,0,1,3.09,0.00,1035157504,0,0
0.5046,60612608,0.1200,9.90,0,0,1,1.86,0.00,1035382784,0,0
0.6056,61005824,0.1300,9.90,0,0,1,2.48,0.00,1035841536,0,0
0.7067,61661184,0.1500,19.79,0,0,1,1.86,0.00,1036845056,0,0
0.8080,62054400,0.1600,9.87,0,0,1,1.85,0.00,1037127680,0,0
0.9088,62709760,0.1800,19.83,0,0,1,1.86,0.00,1037385728,0,0
1.0098,63234048,0.2000,19.80,0,0,1,2.48,0.00,1037901824,0,0
1.1108,63496192,0.2100,9.90,0,0,1,3.10,0.00,1037901824,0,0
1.2117,64282624,0.2100,0.00,0,0,1,1.86,0.00,1039142912,0,0
1.3127,64544768,0.2300,19.80,0,0,1,2.48,0.00,1039400960,0,0
1.4138,64675840,0.2400,9.90,0,0,1,3.09,0.00,1039400960,0,0
1.5147,65331200,0.2600,19.80,0,0,1,16.09,0.00,1042153472,0,0
1.6157,65593344,0.2800,19.81,0,0,1,0.62,0.00,1041989632,0,0
1.7166,65855488,0.2900,9.91,0,0,1,2.48,0.00,1041989632,0,0
1.8174,65986560,0.3000,9.91,0,0,1,1.86,0.00,1042235392,0,0
1.9187,66641920,0.3100,9.88,0,0,1,1.85,0.00,1043025920,0,0
2.0198,66904064,0.3200,9.89,0,0,1,2.47,0.00,1043283968,0,0
2.1206,77258752,0.3800,59.52,0,0,1,4.96,0.00,1053585408,0,0
2.2215,90398720,0.5700,188.40,0,0,1,11.77,0.00,1063600128,0,0
2.3225,210984960,1.3100,732.38,0,0,1,48.25,0.00,1169371136,0,0
2.4272,226713600,2.5900,1223.04,0,0,1,80.02,0.00,1185857536,0,0
2.5285,226713600,4.1800,1568.95,0,0,1,97.44,0.00,1186373632,0,0
2.6298,226975744,5.7800,1579.43,0,0,1,98.71,0.00,1186373632,0,0
2.7312,243011584,6.8900,1094.90,0,0,1,70.28,0.00,1201856512,0,0
2.8352,243011584,8.4700,1519.78,0,0,1,97.99,0.00,1202114560,0,0
2.9362,244060160,9.9500,1464.23,0,0,1,89.04,0.00,1204436992,0,0
3.0371,197234688,10.1000,148.76,0,0,1,11.78,0.00,1175977984,0,0
3.0689,0,10.1000,0.00,0,0,0,3.92,0.00,1035079680,0,0
