t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1021267968,0,0
0.1004,51441664,0.0500,49.78,0,0,1,7.47,0.00,1017745408,0,0
0.2015,54063104,0.0800,29.69,0,0,1,1.86,0.00,1021550592,0,0
0.3024,55767040,0.1000,19.82,0,0,1,3.10,0.00,1022066688,0,0
0.4032,60354560,0.1100,9.92,0,0,1,1.86,0.00,1023590400,0,0
0.5040,60747776,0.1200,9.92,0,0,1,2.48,0.00,1023590400,0,0
0.6048,61534208,0.1400,19.85,0,0,1,3.10,0.00,1023590400,0,0
0.7057,61796352,0.1500,9.91,0,0,1,1.24,0.00,1024884736,0,0
0.8066,61927424,0.1600,9.91,0,0,1,9.29,0.00,1024335872,0,0
0.9075,62713856,0.1800,19.81,0,0,1,1.24,0.00,1026539520,0,0
1.0085,63238144,0.1900,9.90,0,0,1,2.48,0.00,1027055616,0,0
1.1094,64155648,0.2000,9.91,0,0,1,0.62,0.00,1028075520,0,0
1.2103,64286720,0.2100,9.91,0,0,1,1.86,0.00,1028591616,0,0
1.3113,64548864,0.2300,19.80,0,0,1,3.09,0.00,1028841472,0,0
1.4122,64548864,0.2400,9.92,0,0,1,1.86,0.00,1029316608,0,0
1.5132,65728512,0.2600,19.81,0,0,1,3.10,0.00,1030131712,0,0
1.6143,66121728,0.2700,9.89,0,0,1,1.85,0.00,1030647808,0,0
1.7154,66514944,0.2800,9.89,0,0,1,1.85,0.00,1030647808,0,0
1.8164,66646016,0.2900,9.90,0,0,1,1.86,0.00,1030881280,0,0
1.9172,67170304,0.3000,9.92,0,0,1,1.86,0.00,1031397376,0,0
2.0181,67301376,0.3100,9.91,0,0,1,1.86,0.00,1032634368,0,0
2.1190,82767872,0.4200,108.99,0,0,1,6.81,0.00,1047601152,0,0
2.2200,144326656,0.7400,316.91,0,0,1,21.66,0.00,1101189120,0,0
2.3213,237854720,1.2500,503.10,0,0,1,36.38,0.00,1189412864,0,0
2.4224,296607744,1.3700,118.78,0,0,1,6.81,0.00,1249464320,0,0
2.5234,232370176,1.6300,257.28,0,0,1,13.61,0.00,1182470144,0,0
2.6246,241807360,1.8400,207.65,0,0,1,9.27,0.00,1191243776,0,0
2.7254,259371008,2.1200,277.59,0,0,1,17.35,0.00,1206984704,0,0
2.8264,305770496,2.7300,604.39,0,0,1,37.16,0.00,1255755776,0,0
2.9274,337489920,3.3100,574.20,0,0,1,34.65,0.00,1285431296,0,0
3.0286,372224000,4.0100,691.71,0,0,1,41.38,0.00,1321816064,0,0
3.1296,384020480,4.5600,544.46,0,0,1,29.08,0.00,1332912128,0,0
3.2307,267612160,4.9500,385.75,0,0,1,24.73,0.00,1252794368,0,0
3.2614,0,4.9500,0.00,0,0,0,10.19,0.00,1025089536,0,0
