t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1011384320,0,0
0.1004,51306496,0.0500,49.79,0,0,1,6.85,0.00,1018101760,0,0
0.2016,54190080,0.0800,29.65,0,0,1,2.47,0.00,1021169664,0,0
0.3025,55762944,0.1000,19.83,0,0,1,2.48,0.00,1021554688,0,0
0.4034,60350464,0.1100,9.90,0,0,1,3.71,0.00,1022070784,0,0
0.5043,60874752,0.1300,19.83,0,0,1,2.48,0.00,1022070784,0,0
0.6052,61399040,0.1400,9.91,0,0,1,1.86,0.00,1022070784,0,0
0.7062,61661184,0.1500,9.90,0,0,1,1.24,0.00,1022337024,0,0
0.8073,61923328,0.1600,9.89,0,0,1,2.47,0.00,1022595072,0,0
0.9082,62578688,0.1700,9.91,0,0,1,2.48,0.00,1023098880,0,0
1.0091,62971904,0.1900,19.82,0,0,1,0.62,0.00,1023614976,0,0
1.1099,64413696,0.2100,19.82,0,0,1,2.48,0.00,1024131072,0,0
1.2108,64413696,0.2200,9.92,0,0,1,2.48,0.00,1024905216,0,0
1.3116,64675840,0.2300,9.91,0,0,1,2.48,0.00,1025421312,0,0
1.4125,64675840,0.2400,9.91,0,0,1,1.24,0.00,1025421312,0,0
1.5135,65855488,0.2600,19.80,0,0,1,3.71,0.00,1026170880,0,0
1.6145,66379776,0.2700,9.91,0,0,1,1.86,0.00,1026686976,0,0
1.7153,66641920,0.2800,9.92,0,0,1,1.86,0.00,1026686976,0,0
1.8161,66904064,0.2900,9.92,0,0,1,1.86,0.00,1027203072,0,0
1.9168,67559424,0.3000,9.92,0,0,1,1.24,0.00,1027719168,0,0
2.0179,67690496,0.3200,19.79,0,0,1,1.86,0.00,1027719168,0,0
2.1186,73326592,0.3600,39.72,0,0,1,4.96,0.00,1034649600,0,0
2.2196,88068096,0.5400,178.28,0,0,1,11.76,0.00,1053745152,0,0
2.3207,203317248,1.1700,623.01,0,0,1,40.79,0.00,1149632512,0,0
2.3924,0,1.1700,0.00,0,0,0,18.30,0.00,1033650176,0,0
