t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,1009688576,0,0
0.1004,51023872,0.0600,59.74,0,0,1,6.84,0.00,1017675776,0,0
0.2015,54300672,0.0700,9.89,0,0,1,1.85,0.00,1021018112,0,0
0.3024,56004608,0.1000,29.75,0,0,1,4.34,0.00,1021534208,0,0
0.4033,60461056,0.1000,0.00,0,0,1,1.24,0.00,1022545920,0,0
0.5043,60723200,0.1200,19.80,0,0,1,1.86,0.00,1023062016,0,0
0.6052,61378560,0.1300,9.91,0,0,1,3.10,0.00,1023836160,0,0
0.7061,61902848,0.1500,19.83,0,0,1,1.24,0.00,1024352256,0,0
0.8069,61902848,0.1600,9.92,0,0,1,1.86,0.00,1024352256,0,0
0.9077,62820352,0.1700,9.92,0,0,1,2.48,0.00,1024868352,0,0
1.0086,63475712,0.1900,19.82,0,0,1,1.86,0.00,1025384448,0,0
1.1095,63606784,0.2000,9.91,0,0,1,3.10,0.00,1025384448,0,0
1.2105,64524288,0.2100,9.90,0,0,1,3.10,0.00,1026932736,0,0
1.3113,64655360,0.2300,19.85,0,0,1,3.10,0.00,1026932736,0,0
1.4121,64655360,0.2400,9.91,0,0,1,2.48,0.00,1027182592,0,0
1.5129,65835008,0.2500,9.93,0,0,1,4.34,0.00,1028214784,0,0
1.6137,66228224,0.2600,9.91,0,0,1,3.10,0.00,1028960256,0,0
1.7145,66490368,0.2800,19.85,0,0,1,2.48,0.00,1028960256,0,0
1.8156,66752512,0.2900,9.89,0,0,1,3.71,0.00,1029218304,0,0
1.9166,67407872,0.3000,9.91,0,0,1,6.19,0.00,1029734400,0,0
2.0175,67407872,0.3100,9.91,0,0,1,5.57,0.00,1032298496,0,0
2.1183,84840448,0.4000,89.25,0,0,1,6.20,0.00,1050292224,0,0
2.2194,109400064,0.6200,217.56,0,0,1,12.98,0.00,1073197056,0,0
2.3207,226971648,1.2800,651.67,0,0,1,43.82,0.00,1178394624,0,0
2.4217,237273088,1.4500,168.30,0,0,1,13.61,0.00,1191813120,0,0
2.5229,237404160,1.5500,98.86,0,0,1,6.18,0.00,1191813120,0,0
2.6240,237535232,1.6500,98.88,0,0,1,6.18,0.00,1192329216,0,0
2.7251,246194176,1.8100,158.27,0,0,1,10.51,0.00,1199493120,0,0
2.7805,0,1.8100,0.00,0,0,0,6.76,0.00,1042046976,0,0
