n_b,phase,time_s,cores,peak_ram_b,io_read_b,io_write_b
1,Setup (one-off),15.92,4.0,448790528.0,149946368.0,2097152.0
1,Phase 1 (powers of tau),7.75,4.3,448790528.0,67108864.0,1048576.0
1,Circuit compilation (circom),1.04,2.7,360710144.0,9437184.0,0.0
1,Phase 2 (circuit-specific zkey),7.13,3.8,378535936.0,73400320.0,1048576.0
1,Proof generation (snarkjs),0.65,3.7,356515840.0,7340032.0,0.0
1,Proof generation (rapidsnark),0.19,1.7,57671680.0,2097152.0,0.0
1,Verification,0.59,3.7,360710144.0,6291456.0,0.0
2,Setup (one-off),16.92,4.5,450887680.0,153092096.0,3145728.0
2,Phase 1 (powers of tau),8.46,5.1,450887680.0,68157440.0,2097152.0
2,Circuit compilation (circom),1.06,2.8,227540992.0,9437184.0,0.0
2,Phase 2 (circuit-specific zkey),7.4,4.0,391118848.0,75497472.0,1048576.0
2,Proof generation (snarkjs),0.66,3.7,355467264.0,7340032.0,0.0
2,Proof generation (rapidsnark),0.19,1.8,57671680.0,2097152.0,0.0
2,Verification,0.58,3.8,342884352.0,6291456.0,0.0
4,Setup (one-off),18.83,5.3,491782144.0,159383552.0,6291456.0
4,Phase 1 (powers of tau),9.71,6.5,491782144.0,71303168.0,3145728.0
4,Circuit compilation (circom),1.12,2.6,316669952.0,10485760.0,0.0
4,Phase 2 (circuit-specific zkey),8.0,4.2,392167424.0,77594624.0,3145728.0
4,Proof generation (snarkjs),0.67,3.8,362807296.0,7340032.0,0.0
4,Proof generation (rapidsnark),0.2,1.8,57671680.0,2097152.0,0.0
4,Verification,0.58,3.8,344981504.0,6291456.0,0.0
8,Setup (one-off),23.0,6.6,564133888.0,174063616.0,13631488.0
8,Phase 1 (powers of tau),12.45,8.6,564133888.0,78643200.0,7340032.0
8,Circuit compilation (circom),1.27,2.6,360710144.0,10485760.0,0.0
8,Phase 2 (circuit-specific zkey),9.28,4.5,429916160.0,85983232.0,6291456.0
8,Proof generation (snarkjs),0.69,3.9,421527552.0,7340032.0,0.0
8,Proof generation (rapidsnark),0.2,2.0,57671680.0,2097152.0,0.0
8,Verification,0.57,3.8,329252864.0,6291456.0,0.0
16,Setup (one-off),30.62,8.5,699400192.0,203423744.0,29360128.0
16,Phase 1 (powers of tau),17.42,11.3,699400192.0,94371840.0,15728640.0
16,Circuit compilation (circom),1.45,2.4,382730240.0,10485760.0,0.0
16,Phase 2 (circuit-specific zkey),11.74,5.0,451936256.0,98566144.0,12582912.0
16,Proof generation (snarkjs),0.73,3.9,492830720.0,8388608.0,0.0
16,Proof generation (rapidsnark),0.21,2.1,57671680.0,2097152.0,0.0
16,Verification,0.59,3.7,355467264.0,6291456.0,0.0
32,Setup (one-off),46.1,10.6,942669824.0,257949696.0,62914560.0
32,Phase 1 (powers of tau),27.6,14.2,942669824.0,122683392.0,30408704.0
32,Circuit compilation (circom),1.87,2.1,367001600.0,11534336.0,1048576.0
32,Phase 2 (circuit-specific zkey),16.63,5.7,602931200.0,123731968.0,32505856.0
32,Proof generation (snarkjs),0.8,4.1,570425344.0,9437184.0,0.0
32,Proof generation (rapidsnark),0.22,2.1,56623104.0,2097152.0,0.0
32,Verification,0.6,3.7,358612992.0,6291456.0,0.0
64,Setup (one-off),78.23,12.3,1363652116.48,477102080.0,119537664.0
64,Phase 1 (powers of tau),49.18,16.1,1363652116.48,180355072.0,59768832.0
64,Circuit compilation (circom),2.67,1.7,374341632.0,12582912.0,3145728.0
64,Phase 2 (circuit-specific zkey),26.38,6.4,724566016.0,284164096.0,56623104.0
64,Proof generation (snarkjs),0.93,4.2,825229312.0,12582912.0,0.0
64,Proof generation (rapidsnark),0.24,2.3,56623104.0,2097152.0,0.0
64,Verification,0.6,3.7,358612992.0,6291456.0,0.0
128,Setup (one-off),135.62,14.6,1578400481.28,816840704.0,273678336.0
128,Phase 1 (powers of tau),93.65,17.7,1578400481.28,299892736.0,121634816.0
128,Circuit compilation (circom),4.2,1.3,408944640.0,15728640.0,10485760.0
128,Phase 2 (circuit-specific zkey),37.78,8.4,1159641169.92,501219328.0,141557760.0
128,Proof generation (snarkjs),1.12,4.6,1256277934.08,17825792.0,0.0
128,Proof generation (rapidsnark),0.28,2.8,57671680.0,2097152.0,0.0
128,Verification,0.59,3.7,350224384.0,6291456.0,0.0
256,Setup (one-off),244.98,16.7,1879048192.0,1406601789.44,573571072.0
256,Phase 1 (powers of tau),183.98,18.7,1879048192.0,532676608.0,241172480.0
256,Circuit compilation (circom),7.35,1.1,433061888.0,22020096.0,12582912.0
256,Phase 2 (circuit-specific zkey),53.64,11.8,1428076625.92,850395136.0,319815680.0
256,Proof generation (snarkjs),1.5,4.8,1535450808.32,29360128.0,0.0
256,Proof generation (rapidsnark),0.35,3.6,72351744.0,3145728.0,0.0
256,Verification,0.59,3.7,357564416.0,6291456.0,0.0
512,Setup (one-off),472.8,18.1,2802466160.64,2448131358.72,967835648.0
512,Phase 1 (powers of tau),370.06,19.5,2802466160.64,998244352.0,472907776.0
512,Circuit compilation (circom),13.72,1.0,508559360.0,34603008.0,37748736.0
512,Phase 2 (circuit-specific zkey),89.02,14.5,1921997864.96,1417339207.68,457179136.0
512,Proof generation (snarkjs),2.17,5.2,1921997864.96,76546048.0,0.0
512,Proof generation (rapidsnark),0.5,4.1,85983232.0,3145728.0,0.0
512,Verification,0.61,3.7,353370112.0,6291456.0,0.0
1024,Setup (one-off),946.7,18.9,4724464025.6,5862630359.04,1932735283.2
1024,Phase 1 (powers of tau),757.35,20.1,4724464025.6,1932735283.2,959447040.0
1024,Circuit compilation (circom),27.3,1.0,1027604480.0,59768832.0,79691776.0
1024,Phase 2 (circuit-specific zkey),162.06,16.4,3027951943.68,3876207984.64,892338176.0
1024,Proof generation (snarkjs),3.61,5.4,3070901616.64,145752064.0,0.0
1024,Proof generation (rapidsnark),0.79,4.8,197132288.0,4194304.0,0.0
1024,Verification,0.6,3.7,352321536.0,6291456.0,0.0
2048,Setup (one-off),1894.63,19.9,7129645711.36,9212704849.92,3747358965.76
2048,Phase 1 (powers of tau),1534.1,20.9,7129645711.36,3790308638.72,1921997864.96
2048,Circuit compilation (circom),53.29,0.9,978321408.0,110100480.0,163577856.0
2048,Phase 2 (circuit-specific zkey),307.24,18.0,4917737553.92,5304284610.56,1664299827.2
2048,Proof generation (snarkjs),6.43,5.6,4509715660.8,241172480.0,0.0
2048,Proof generation (rapidsnark),1.38,5.8,337641472.0,4194304.0,0.0
2048,Verification,0.61,3.7,350224384.0,6291456.0,0.0
4096,Setup (one-off),3736.52,21.7,10812580167.68,15784004812.8,7548405022.72
4096,Phase 1 (powers of tau),3049.83,22.7,10812580167.68,7516192768.0,3833258311.68
4096,Circuit compilation (circom),107.1,0.8,1964947537.92,213909504.0,335544320.0
4096,Phase 2 (circuit-specific zkey),579.59,20.4,8482560409.6,8053063680.0,3371549327.36
4096,Proof generation (snarkjs),11.95,5.6,8461085573.12,416284672.0,0.0
4096,Proof generation (rapidsnark),2.46,6.9,598736896.0,6291456.0,11534336.0
4096,Verification,0.59,3.7,356515840.0,6291456.0,0.0
8192,Setup (one-off),7604.5,22.6,19198503813.12,28926604738.56,14763950080.0
8192,Phase 1 (powers of tau),6155.97,23.9,19198503813.12,14978698444.8,7666516623.36
8192,Circuit compilation (circom),227.58,0.9,3532610600.96,402653184.0,696254464.0
8192,Phase 2 (circuit-specific zkey),1220.95,20.1,10050223472.64,13550621818.88,6399501271.04
8192,Proof generation (snarkjs),25.67,5.0,12820477378.56,763363328.0,0.0
8192,Proof generation (rapidsnark),4.57,7.1,1148903751.68,9437184.0,37748736.0
8192,Verification,0.58,3.8,337641472.0,6291456.0,0.0
