t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,68306944,0,0
0.1053,56479744,0.0900,85.48,0,0,1,3.56,0.00,85875712,0,0
0.2119,76955648,0.2200,121.91,0,0,1,3.52,0.00,104672256,0,0
0.3179,85213184,0.4000,169.77,0,0,1,5.60,0.00,110963712,0,155648
0.4236,118730752,0.6000,189.34,0,0,1,6.80,0.00,150343680,0,155648
0.5312,362553344,2.1100,1403.21,0,0,1,41.24,0.00,404029440,0,155648
0.6375,450056192,2.3200,197.46,0,4096,1,5.88,0.00,494922752,0,155648
0.7431,561745920,2.5500,217.90,0,4096,1,6.81,0.00,614345728,0,2992640
0.8504,640077824,5.3500,2608.39,0,4096,1,82.39,0.00,681585664,0,2992640
0.9624,640077824,8.4800,2794.98,0,4096,1,91.81,0.00,681475072,0,2992640
1.0717,640077824,11.5500,2809.95,0,4096,1,83.23,0.00,681397248,0,2992640
1.1781,640077824,14.6800,2940.69,0,4096,1,92.78,0.00,681233408,0,2992640
1.2844,640077824,17.7700,2906.87,0,4096,1,94.66,0.00,681491456,0,2992640
1.3907,640077824,20.9000,2944.81,0,4096,1,87.62,0.00,681483264,0,2992640
1.4973,640077824,23.9200,2833.49,0,4096,1,92.65,0.00,681475072,0,2992640
1.6036,640077824,27.0500,2944.72,0,4096,1,86.73,0.00,681475072,0,2992640
1.7099,640077824,30.1900,2953.53,0,4096,1,97.00,0.00,681475072,0,2992640
1.8194,640077824,33.5300,3051.29,0,4096,1,93.07,0.00,681475072,0,2992640
1.9257,640077824,36.7600,3036.73,0,4096,1,99.01,0.00,681475072,0,2992640
2.0316,640077824,40.1100,3163.16,0,4096,1,93.83,0.00,681298944,0,2992640
2.1419,640077824,43.5800,3147.55,0,4096,1,97.51,0.00,681192448,0,2992640
2.2477,640077824,46.8000,3043.56,0,4096,1,97.47,0.00,681176064,0,3078656
2.3539,640077824,50.1400,3143.89,0,4096,1,97.07,0.00,681176064,0,3078656
2.4601,640077824,53.3700,3040.50,0,4096,1,97.37,0.00,681171968,0,3078656
2.5674,640077824,56.7200,3124.13,0,4096,1,96.17,0.00,681065472,0,3078656
2.6744,640077824,60.0700,3128.93,0,4096,1,96.61,0.00,681036800,0,3078656
2.7805,640077824,63.2900,3035.33,0,4096,1,97.21,0.00,681237504,0,3078656
2.8877,640077824,66.5400,3031.69,0,4096,1,93.57,0.00,681237504,0,3078656
2.9972,640077824,69.7800,2958.83,0,4096,1,95.03,0.00,681233408,0,3078656
3.1034,640077824,73.0200,3050.15,0,4096,1,90.61,0.00,681233408,0,3348992
3.2099,640077824,76.2600,3044.34,0,4096,1,96.31,0.00,681229312,0,3348992
3.3184,640077824,79.5600,3040.02,0,4096,1,95.29,0.00,681225216,0,3348992
3.4241,640077824,82.7900,3055.33,0,4096,1,94.89,0.00,681225216,0,3385856
3.5305,640077824,86.1300,3140.58,0,4096,1,98.73,0.00,681225216,0,3385856
3.6386,640077824,89.4400,3062.38,0,4096,1,95.41,0.00,681225216,0,3385856
3.7445,640077824,92.5500,2935.71,0,4096,1,92.04,0.00,681221120,0,3435008
3.8507,640077824,95.7900,3051.30,0,4096,1,100.36,0.00,681221120,0,3435008
3.9593,640077824,99.0300,2984.27,0,4096,1,88.37,0.00,681221120,0,3435008
4.0652,640077824,102.1500,2945.59,0,4096,1,97.07,0.00,681221120,0,3435008
4.1746,640077824,105.5000,3062.27,0,4096,1,92.27,0.00,681217024,0,3435008
4.2824,640077824,108.8500,3106.45,0,4096,1,95.63,0.00,681217024,0,3435008
4.3882,640077824,112.0800,3054.68,0,4096,1,95.75,0.00,681217024,0,3435008
4.4986,640077824,115.5500,3142.87,0,4096,1,97.65,0.00,681217024,0,3435008
4.6045,640077824,118.7700,3041.00,0,4096,1,95.33,0.00,681217024,0,3435008
4.7106,640077824,122.1200,3155.34,0,4096,1,98.60,0.00,681217024,0,3435008
4.8171,640077824,125.3400,3024.55,0,4096,1,98.04,0.00,681217024,0,3435008
4.9234,640077824,128.6900,3150.86,0,4096,1,99.05,0.00,681212928,0,3435008
5.0314,640077824,132.0300,3091.60,0,4096,1,92.56,0.00,681212928,0,3435008
5.1376,640077824,135.2500,3032.57,0,4096,1,98.59,0.00,681044992,0,3504640
5.2450,640077824,138.6000,3118.66,0,4096,1,97.75,0.00,681044992,0,3504640
5.3506,640077824,141.9400,3163.83,0,4096,1,95.02,0.00,681044992,0,3504640
5.4568,640077824,145.1600,3031.70,0,4096,1,98.27,0.00,681040896,0,3504640
5.5655,640077824,148.5200,3091.38,0,4096,1,96.89,0.00,681040896,0,3504640
5.6715,640077824,151.8600,3151.77,0,4096,1,94.36,0.00,681040896,0,3504640
5.7778,640077824,155.0900,3038.24,0,4096,1,102.00,0.00,681040896,0,3504640
5.8878,640077824,158.6100,3200.30,0,4096,1,94.04,0.00,681040896,0,6112768
5.9938,640077824,162.0600,3252.83,0,4096,1,102.24,0.00,680954880,0,6112768
6.1006,640077824,165.3900,3118.64,0,4096,1,100.09,0.00,681217024,0,6112768
6.2090,640077824,168.8300,3173.04,0,4096,1,99.16,0.00,681212928,0,6112768
6.3146,640077824,172.1700,3165.27,0,4096,1,96.55,0.00,681212928,0,6112768
6.4224,640077824,175.5200,3105.70,0,4096,1,95.89,0.00,681212928,0,6112768
6.5285,640077824,178.7500,3046.18,0,4096,1,98.73,0.00,681212928,0,6112768
6.6372,640077824,182.0900,3072.76,0,4096,1,96.31,0.00,681208832,0,6112768
6.7429,640077824,185.4300,3157.96,0,4096,1,95.14,0.00,681208832,0,6112768
6.8494,640077824,188.6600,3033.96,0,4096,1,98.33,0.00,681208832,0,6112768
6.9553,640077824,192.0000,3152.03,0,4096,1,96.44,0.00,681208832,0,6141440
7.0625,640077824,195.3500,3125.76,0,4096,1,96.22,0.00,681204736,0,6141440
7.1684,640077824,198.5800,3051.36,0,4096,1,98.90,0.00,681204736,0,6141440
7.2753,640077824,201.9200,3123.14,0,4096,1,95.55,0.00,681204736,0,6141440
