t_s,proc_rss_bytes,proc_cpu_s,proc_cpu_pct,proc_read_bytes,proc_write_bytes,nproc,sys_cpu_pct,sys_iowait_pct,sys_mem_used_bytes,sys_read_bytes,sys_write_bytes
0.0000,0,0.0000,0.00,0,0,0,0.00,0.00,57922560,0,0
0.1042,56770560,0.0900,86.33,0,0,1,3.00,0.00,75165696,0,0
0.2095,76058624,0.2200,123.54,0,0,1,3.27,0.00,93851648,0,0
0.3160,85495808,0.4000,169.00,0,0,1,5.28,0.00,101834752,0,249856
0.4214,140111872,0.6800,265.70,0,0,1,8.90,0.00,162576384,0,249856
0.5307,362278912,2.0800,1279.97,0,0,1,36.86,0.00,394207232,0,29667328
0.6402,370143232,3.6500,1434.34,0,3768320,1,46.54,0.00,402200576,0,33017856
0.7464,372895744,5.6900,1921.35,0,4419584,1,59.16,0.00,408173568,0,33017856
0.8556,376041472,8.9800,3012.47,0,4419584,1,94.71,0.00,408370176,0,33017856
0.9612,379973632,11.3500,2243.31,0,4419584,1,68.62,0.00,412011520,0,33017856
1.0435,0,11.3500,0.00,0,4419584,0,4.94,0.00,58821632,0,33017856
