i,N_b,gasUsed,blobGasUsed,n_blobs,effectiveGasPrice_wei,blobGasPrice_wei,block,tx_hash,state_root_before,state_root_after
0,8192,251559,131072,1,3006241281,61898503,11569639,60be27e6d6b0706ced1f2185a356b11020e3f19356fcd5013b61ea8ccda0b4c9,0x96501846bb8c897e77c52f06d8a9c46ac451301859c95f0eb4540ba5e69810ef,0x9b968a76136d35393f9277ae46aeab81b26cc13ff342c2b895bd77c09a1cbf45
1,8192,234459,131072,1,2936456381,63540020,11569640,0aea8167d13d2a432864a49d601707518a64a2283de0b258b3daacac3c42e2f2,0x9b968a76136d35393f9277ae46aeab81b26cc13ff342c2b895bd77c09a1cbf45,0x9783968ac72533d6b02c4849138c5c2ea2de3172d6bac07c1ee2eddd464e57c4
2,8192,234459,131072,1,3020985190,61437331,11569642,71aa17f172100ec85be7738057ef7fb84131e4c464b9d726c00d80920432c455,0x9783968ac72533d6b02c4849138c5c2ea2de3172d6bac07c1ee2eddd464e57c4,0xd4a8cb3aea0183fd32d4db7b9cd3634288365caa7ad3044c449c3da0758b4e75
3,8192,234459,131072,1,3076052807,56797688,11569644,a0625ef321f2302fbf8e852aa71e19379e7dec4c1391534879153492bd77d026,0xd4a8cb3aea0183fd32d4db7b9cd3634288365caa7ad3044c449c3da0758b4e75,0x5e9c74ec4de17859160d1a261b3e38d5bcd9dd6142d1e32d79a0b7c9405d40d4
4,8192,234459,131072,1,2943270834,59404220,11569646,940fa482215a775c087275dc28f3293d9245eb15673a2b2a19f162a00baf28cc,0x5e9c74ec4de17859160d1a261b3e38d5bcd9dd6142d1e32d79a0b7c9405d40d4,0x7514c1fdd91875cec58253bbad8c6bf34d0933ec9e833a9be7bf33a4fe9cccf0
5,8192,234459,131072,1,3061158955,52508419,11569647,ce4f79217df8dc7860174185baa9c155b6dd5b0734b132db98b8eff716caa322,0x7514c1fdd91875cec58253bbad8c6bf34d0933ec9e833a9be7bf33a4fe9cccf0,0xe509b1b5152dc995f61bd0d21ee0cbbb5d83dac93ce61323bc599dd029315d84
6,8192,234459,131072,1,2988180319,55123842,11569649,842bf036cbb67c6e392295244c3e5d2e0415a99ce32b83f66905f7fcc0f8e8d1,0xe509b1b5152dc995f61bd0d21ee0cbbb5d83dac93ce61323bc599dd029315d84,0xb56f32262defe46cd682577b69c721925e3acd9e7645b7e0999373562c4906ab
7,8192,234459,131072,1,2986718087,57010447,11569651,f54416c324223489640986f21d4af09006863ea1661b64e048d4f019c56fc46b,0xb56f32262defe46cd682577b69c721925e3acd9e7645b7e0999373562c4906ab,0x0f74212e4df0619ec0bcd2ec4c1d267e423a8664b0a98a391ecd9cb67148034e
8,8192,234459,131072,1,3058520138,59404204,11569653,93c753f646fcfd0fa05c7d1335284f35d4a98505d3113c1eeca4a76465a4e018,0x0f74212e4df0619ec0bcd2ec4c1d267e423a8664b0a98a391ecd9cb67148034e,0xe8b1bdf954c18f5cff0992eaa27804757f0e3de32ba6d3ebb0e58eeaa307072b
9,8192,234447,131072,1,3120597689,61898476,11569655,b3ed3be18d03a760a67e190f5505a1cfa6b1b1bbd52081707c74bcf1e853fe8f,0xe8b1bdf954c18f5cff0992eaa27804757f0e3de32ba6d3ebb0e58eeaa307072b,0x0ca4b5bf09c446ccee0f7700df8c11ccaa0fdda197b9c0b0460ba7d8fa7434fa
