i,N_b,gasUsed,blobGasUsed,n_blobs,effectiveGasPrice_wei,blobGasPrice_wei,block,tx_hash,state_root_before,state_root_after
0,64,251547,131072,1,3064512001,61705966,11360440,6e20e4a9b478a493b764cfcd91a89fd8301a7f615065f3c44da39597fd9b3c03,0x96501846bb8c897e77c52f06d8a9c46ac451301859c95f0eb4540ba5e69810ef,0x9b968a76136d35393f9277ae46aeab81b26cc13ff342c2b895bd77c09a1cbf45
1,64,234447,131072,1,3057757155,61246224,11360444,1c5b146c71db47cf089c3436aec53f4ce7bcf53f1648a74b4ae4a90ec6e3c81d,0x9b968a76136d35393f9277ae46aeab81b26cc13ff342c2b895bd77c09a1cbf45,0x9783968ac72533d6b02c4849138c5c2ea2de3172d6bac07c1ee2eddd464e57c4
2,64,234447,131072,1,3084789483,57474231,11360448,b355aeb777f3b68e154009edce67e5f5f23dbb58581a834cc46148d07de5307f,0x9783968ac72533d6b02c4849138c5c2ea2de3172d6bac07c1ee2eddd464e57c4,0xd4a8cb3aea0183fd32d4db7b9cd3634288365caa7ad3044c449c3da0758b4e75
3,64,234447,131072,1,2987297931,57259726,11360452,2e3cb6961a498d11194de0364b8bd2eb9bd501e078f77579524727b7be1d899d,0xd4a8cb3aea0183fd32d4db7b9cd3634288365caa7ad3044c449c3da0758b4e75,0x5e9c74ec4de17859160d1a261b3e38d5bcd9dd6142d1e32d79a0b7c9405d40d4
4,64,234447,131072,1,3003846558,61937101,11360456,62f33810267e5618639090fb5f5ad51137dae23d57213b96be14009b9360977b,0x5e9c74ec4de17859160d1a261b3e38d5bcd9dd6142d1e32d79a0b7c9405d40d4,0x7514c1fdd91875cec58253bbad8c6bf34d0933ec9e833a9be7bf33a4fe9cccf0
5,64,234447,131072,1,3062816422,58998403,11360460,f7e06c807784091575aba20c32aa90e7b536bc7ed5cf3c6d52716fd8fd753ea6,0x7514c1fdd91875cec58253bbad8c6bf34d0933ec9e833a9be7bf33a4fe9cccf0,0xe509b1b5152dc995f61bd0d21ee0cbbb5d83dac93ce61323bc599dd029315d84
6,64,234447,131072,1,3050742903,65510233,11360463,39c014051f0ebd76ef25e8fb4ef1a219f3759f20d1e36c2d77ffa4e2adc20383,0xe509b1b5152dc995f61bd0d21ee0cbbb5d83dac93ce61323bc599dd029315d84,0xb56f32262defe46cd682577b69c721925e3acd9e7645b7e0999373562c4906ab
7,64,234447,131072,1,3100165647,61937090,11360466,3971ee184eef503ad0e0fb9210ae45f6f40e73b83444a7c7b43cbcea0c0b120b,0xb56f32262defe46cd682577b69c721925e3acd9e7645b7e0999373562c4906ab,0x0f74212e4df0619ec0bcd2ec4c1d267e423a8664b0a98a391ecd9cb67148034e
8,64,234447,131072,1,3003724862,63579631,11360470,844737bdc8a4c778e4fdb68d4bdc1fcac7559d7a72831d009923af84f2a86fca,0x0f74212e4df0619ec0bcd2ec4c1d267e423a8664b0a98a391ecd9cb67148034e,0xe8b1bdf954c18f5cff0992eaa27804757f0e3de32ba6d3ebb0e58eeaa307072b
9,64,234435,131072,1,3106092681,62870416,11360473,d7f8f484c1fda3ed2be4334eae536e949911261b97fd808679bbcdbb19f6f803,0xe8b1bdf954c18f5cff0992eaa27804757f0e3de32ba6d3ebb0e58eeaa307072b,0x0ca4b5bf09c446ccee0f7700df8c11ccaa0fdda197b9c0b0460ba7d8fa7434fa
