phase,prover,n,W_s,Wbar_s_per_tx,throughput_tx_s,gamma,xi
prove,rapidsnark,1,0.191571,0.191571,5.22,0.0161,0.9839
prove,rapidsnark,2,0.193717,0.0968587,10.3243,0.0169,0.9831
prove,rapidsnark,4,0.19612,0.04903,20.3957,0.0257,0.9743
prove,rapidsnark,8,0.20074,0.0250925,39.8525,0.0391,0.9609
prove,rapidsnark,16,0.207035,0.0129397,77.2816,0.0672,0.9328
prove,rapidsnark,32,0.220326,0.0068852,145.239,0.1020,0.8980
prove,rapidsnark,64,0.238492,0.00372644,268.353,0.1641,0.8359
prove,rapidsnark,128,0.276596,0.00216091,462.769,0.2811,0.7189
prove,rapidsnark,256,0.352161,0.00137563,726.94,0.4252,0.5748
prove,rapidsnark,512,0.498719,0.00097406,1026.63,0.5872,0.4128
prove,rapidsnark,1024,0.794835,0.000776206,1288.32,0.7318,0.2682
prove,rapidsnark,2048,1.37545,0.000671605,1488.97,0.8148,0.1852
prove,rapidsnark,4096,2.45943,0.000600447,1665.43,0.8657,0.1343
prove,rapidsnark,8192,4.56701,0.000557496,1793.74,0.8929,0.1071
prove,snarkjs,1,0.646212,0.646212,1.54748,0.0378,0.9622
prove,snarkjs,2,0.663347,0.331673,3.01501,0.0236,0.9764
prove,snarkjs,4,0.667715,0.166929,5.99058,0.0294,0.9706
prove,snarkjs,8,0.690914,0.0863642,11.5789,0.0681,0.9319
prove,snarkjs,16,0.733854,0.0458659,21.8027,0.1017,0.8983
prove,snarkjs,32,0.795489,0.024859,40.2268,0.1745,0.8255
prove,snarkjs,64,0.934628,0.0146036,68.4764,0.2463,0.7537
prove,snarkjs,128,1.11923,0.00874395,114.365,0.3419,0.6581
prove,snarkjs,256,1.50139,0.0058648,170.509,0.4769,0.5231
prove,snarkjs,512,2.16805,0.00423447,236.157,0.6337,0.3663
prove,snarkjs,1024,3.61432,0.00352961,283.318,0.7840,0.2160
prove,snarkjs,2048,6.4284,0.00313887,318.586,0.8626,0.1374
prove,snarkjs,4096,11.9505,0.0029176,342.747,0.9988,0.0012
prove,snarkjs,8192,25.6722,0.00313381,319.101,1.1031,-0.1031
verify,,1,0.591659,0.591659,1.69016,-0.0159,1.0159
verify,,2,0.585155,0.292578,3.41789,-0.0052,1.0052
verify,,4,0.587401,0.14685,6.80966,-0.0062,1.0062
verify,,8,0.580168,0.0725209,13.7891,-0.0034,1.0034
verify,,16,0.584662,0.0365413,27.3663,0.0245,0.9755
verify,,32,0.600222,0.0187569,53.3136,0.0209,0.9791
verify,,64,0.601875,0.0094043,106.334,-0.0086,1.0086
verify,,128,0.593141,0.00463392,215.8,-0.0149,1.0149
verify,,256,0.589546,0.00230291,434.232,0.0102,0.9898
verify,,512,0.601562,0.00117493,851.117,0.0150,0.9850
verify,,1024,0.601915,0.000587808,1701.24,0.0008,0.9992
verify,,2048,0.602202,0.000294044,3400.85,-0.0083,1.0083
verify,,4096,0.594998,0.000145263,6884.06,-0.0213,1.0213
verify,,8192,0.584646,7.1368e-05,14011.9,-0.0253,1.0253
